TAB:  US_Delaware_New_Castle Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Delaware_New_Castle Deaths    1/23/2020     1        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .             2        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    1/25/2020     3        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .             4        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    1/27/2020     5        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .             6        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    1/29/2020     7        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .             8        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    1/31/2020     9        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            10        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/2/2020     11        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            12        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/4/2020     13        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            14        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/6/2020     15        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            16        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/8/2020     17        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            18        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/10/2020    19        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            20        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/12/2020    21        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            22        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/14/2020    23        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            24        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/16/2020    25        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            26        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/18/2020    27        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            28        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/20/2020    29        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            30        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/22/2020    31        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            32        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/24/2020    33        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            34        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/26/2020    35        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            36        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    2/28/2020    37        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            38        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    3/1/2020     39        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            40        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    3/3/2020     41        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            42        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    3/5/2020     43        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            44        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    3/7/2020     45        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            46        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    3/9/2020     47        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            48        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    3/11/2020    49        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            50        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    3/13/2020    51        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            52        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    3/15/2020    53        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            54        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    3/17/2020    55        0      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            56        0      185        0        0       76       76       76
TAB:  US_Delaware_New_Castle Deaths    3/19/2020    57        0      185        0        0       76    27507    27507
TAB:  US_Delaware_New_Castle Deaths    .            58        0      185        0        0       71       71       71
TAB:  US_Delaware_New_Castle Deaths    3/21/2020    59        0      185        0        0       74       81       75
TAB:  US_Delaware_New_Castle Deaths    .            60        0      185        0        0       77      201       92
TAB:  US_Delaware_New_Castle Deaths    3/23/2020    61        0      185        0        0       80      156       96
TAB:  US_Delaware_New_Castle Deaths    .            62        0      185        0        0      380    11810     6629
TAB:  US_Delaware_New_Castle Deaths    3/25/2020    63        0      185        0        0      380    12877     7848
TAB:  US_Delaware_New_Castle Deaths    .            64        0      185        0        0       76     4190     2514
TAB:  US_Delaware_New_Castle Deaths    3/27/2020    65        0      185        0        0      228     3124     1904
TAB:  US_Delaware_New_Castle Deaths    .            66        2      185        0        0      380     4800     3276
TAB:  US_Delaware_New_Castle Deaths    3/29/2020    67        2      185        0        0      380    11963     2057
TAB:  US_Delaware_New_Castle Deaths    .            68        2      185        0        0      228     7086     1295
