TAB:  Diamond_Princess Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Diamond_Princess Deaths    .            82       11       13       10       15       10       86       17
TAB:  Diamond_Princess Deaths    4/14/2020    83       12       13       14        5       13       78       17
TAB:  Diamond_Princess Deaths    .            84       12       13       13        8       13       44       17
TAB:  Diamond_Princess Deaths    4/16/2020    85       12       13       13       15       13       29       17
TAB:  Diamond_Princess Deaths    .            86       13       13       13       12       13       30       18
TAB:  Diamond_Princess Deaths    4/18/2020    87       13       13       17        8       13       31       19
TAB:  Diamond_Princess Deaths    .            88       13       13       16       12       14       31       19
TAB:  Diamond_Princess Deaths    4/20/2020    89       13       13       16       11       13       31       19
TAB:  Diamond_Princess Deaths    .            90       13       13       16       12       13       31       18
TAB:  Diamond_Princess Deaths    4/22/2020    91       13       13       16       10       13       31       18
TAB:  Diamond_Princess Deaths    .            92       13       13       16       10       13       31       18
TAB:  Diamond_Princess Deaths    4/24/2020    93       13       13       16       10       13       31       18
TAB:  Diamond_Princess Deaths    .            94       13       13       15       11       13       31       17
TAB:  Diamond_Princess Deaths    4/26/2020    95       13       13       15       13       13       65       17
TAB:  Diamond_Princess Deaths    .            96       13       13       15       15       13       44       18
TAB:  Diamond_Princess Deaths    4/28/2020    97       13       13       15       15       13       49       18
TAB:  Diamond_Princess Deaths    .            98       13       13       15       14       13       60       20
TAB:  Diamond_Princess Deaths    4/30/2020    99       13       13       15       15       13       85       18
TAB:  Diamond_Princess Deaths    .           100       13       13       15       17       13       40       17
TAB:  Diamond_Princess Deaths    5/2/2020    101       13       13       15       16       13       50       17
TAB:  Diamond_Princess Deaths    .           102       13       13       15       17       13       66       17
TAB:  Diamond_Princess Deaths    5/4/2020    103       13       13       14       22       13       37       17
TAB:  Diamond_Princess Deaths    .           104       13       13       13       23       12       27       16
TAB:  Diamond_Princess Deaths    5/6/2020    105       13       13       14       25       12       23       16
TAB:  Diamond_Princess Deaths    .           106       13       13       14       29       13       21       16
TAB:  Diamond_Princess Deaths    5/8/2020    107       13       13       14       28       13       18       16
TAB:  Diamond_Princess Deaths    .           108       13       13       14       29       13       18       16
TAB:  Diamond_Princess Deaths    5/10/2020   109       13       13       14       29       12       16       14
TAB:  Diamond_Princess Deaths    .           110       13       13       13       28       13       15       14
TAB:  Diamond_Princess Deaths    5/12/2020   111       13       13       13       27       12       16       15
TAB:  Diamond_Princess Deaths    .           112       13       13       13       24       13       15       14
TAB:  Diamond_Princess Deaths    5/14/2020   113       13       13       13       27       13       15       14
TAB:  Diamond_Princess Deaths    .           114       13       13       13       27       13       13       13
TAB:  Diamond_Princess Deaths    5/16/2020   115       13       13       13       28       13       13       13
TAB:  Diamond_Princess Deaths    .           116       13       13       13       28       13       13       13
TAB:  Diamond_Princess Deaths    5/18/2020   117       13       13       13       32       13       13       13
TAB:  Diamond_Princess Deaths    .           118       13       13       12       34       12       12       12
TAB:  Diamond_Princess Deaths    5/20/2020   119       13       13       12       38       12       12       12
TAB:  Diamond_Princess Deaths    .           120       13       13       12       39       12       12       12
TAB:  Diamond_Princess Deaths    5/22/2020   121       13       13       12       42       12       12       12
TAB:  Diamond_Princess Deaths    .           122       13       13       12       41       12       12       12
TAB:  Diamond_Princess Deaths    5/24/2020   123       13       13       12       41       12       12       12
TAB:  Diamond_Princess Deaths    .           124       13       13       12       42       12       12       12
TAB:  Diamond_Princess Deaths    5/26/2020   125       13       13       12       42       12       12       12
TAB:  Diamond_Princess Deaths    .           126       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    5/28/2020   127       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    .           128       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    5/30/2020   129       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    .           130       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    6/1/2020    131       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    .           132       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    6/3/2020    133       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    .           134       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    6/5/2020    135       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    .           136       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    6/7/2020    137       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    .           138       13       13        0        0        0        0        0
TAB:  Diamond_Princess Deaths    6/9/2020    139       13       13        0        0        0        0        0
