TAB:  US_Illinois_Cook Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Illinois_Cook Confirmed 1/23/2020     1        0    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .             2        1    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 1/25/2020     3        1    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .             4        1    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 1/27/2020     5        1    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .             6        1    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 1/29/2020     7        1    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .             8        1    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 1/31/2020     9        2    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .            10        2    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 2/2/2020     11        2    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .            12        2    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 2/4/2020     13        2    83271    -            1   362072   429556   403601
TAB:  US_Illinois_Cook Confirmed .            14        2    83271    51212        1    51212   405309   361413
TAB:  US_Illinois_Cook Confirmed 2/6/2020     15        2    83271   155332        1   155332   520025   428176
TAB:  US_Illinois_Cook Confirmed .            16        2    83271    81758        1    81758   429556   177792
TAB:  US_Illinois_Cook Confirmed 2/8/2020     17        2    83271    -            1   428721   428721   428721
TAB:  US_Illinois_Cook Confirmed .            18        2    83271   162416        1   162416   507734   507734
TAB:  US_Illinois_Cook Confirmed 2/10/2020    19        2    83271   162416        1   162416   162416   162416
TAB:  US_Illinois_Cook Confirmed .            20        2    83271    -            3   586524   586524   586524
TAB:  US_Illinois_Cook Confirmed 2/12/2020    21        2    83271    -            2   586524   586524   586524
TAB:  US_Illinois_Cook Confirmed .            22        2    83271    -            2   586524   586524   586524
TAB:  US_Illinois_Cook Confirmed 2/14/2020    23        2    83271   143238        1   143238   586524   586524
TAB:  US_Illinois_Cook Confirmed .            24        2    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 2/16/2020    25        2    83271    -            1   291179   291179   291179
TAB:  US_Illinois_Cook Confirmed .            26        2    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 2/18/2020    27        2    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .            28        2    83271   144858        1   144858   144858   144858
TAB:  US_Illinois_Cook Confirmed 2/20/2020    29        2    83271   144858        1   144858   144858   144858
TAB:  US_Illinois_Cook Confirmed .            30        2    83271    -            1   340928   340928   340928
TAB:  US_Illinois_Cook Confirmed 2/22/2020    31        2    83271   144180        1   144180   144180   144180
TAB:  US_Illinois_Cook Confirmed .            32        2    83271   144955        1   144955   144955   144955
TAB:  US_Illinois_Cook Confirmed 2/24/2020    33        2    83271    -            1   340344   340344   340344
TAB:  US_Illinois_Cook Confirmed .            34        2    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 2/26/2020    35        2    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .            36        2    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 2/28/2020    37        2    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .            38        2    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 3/1/2020     39        3    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .            40        4    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 3/3/2020     41        4    83271     1538        1     1538     1538     1538
TAB:  US_Illinois_Cook Confirmed .            42        4    83271     1538        3     1538    29226    29226
TAB:  US_Illinois_Cook Confirmed 3/5/2020     43        5    83271     1538        5     1538     1538     1538
TAB:  US_Illinois_Cook Confirmed .            44        5    83271     1538        8     1538     1538     1538
TAB:  US_Illinois_Cook Confirmed 3/7/2020     45        6    83271     1538        7     1538    23073    23073
TAB:  US_Illinois_Cook Confirmed .            46        7    83271     1538        5     1538    19997    19997
TAB:  US_Illinois_Cook Confirmed 3/9/2020     47        7    83271     1538        8     1538   312261   284573
TAB:  US_Illinois_Cook Confirmed .            48       11    83271    -            1   404555   404555   404555
TAB:  US_Illinois_Cook Confirmed 3/11/2020    49       22    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .            50       27    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 3/13/2020    51       40    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .            52       50    83271     1538        2     1538     1538     1538
TAB:  US_Illinois_Cook Confirmed 3/15/2020    53       50    83271     1538        4     1538     1538     1538
TAB:  US_Illinois_Cook Confirmed .            54       62    83271     1538        6     1538     1538     1538
TAB:  US_Illinois_Cook Confirmed 3/17/2020    55      107    83271     1538        2     1538    23073     4614
TAB:  US_Illinois_Cook Confirmed .            56      178    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 3/19/2020    57      278    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .            58      278    83271    13844        1    13844    13844    13844
TAB:  US_Illinois_Cook Confirmed 3/21/2020    59      548    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed .            60      805    83271        0        0        0        0        0
TAB:  US_Illinois_Cook Confirmed 3/23/2020    61      922    83271    59991        1    59991   466085   466085
TAB:  US_Illinois_Cook Confirmed .            62     1194    83271    13844        2     1538    75373    13844
TAB:  US_Illinois_Cook Confirmed 3/25/2020    63     1418    83271     1538        2     1538   207661     7691
TAB:  US_Illinois_Cook Confirmed .            64     1418    83271     1538        5     1538   192279    16920
TAB:  US_Illinois_Cook Confirmed 3/27/2020    65     2239    83271    10767        1    10767   164591    16920
TAB:  US_Illinois_Cook Confirmed .            66     2613    83271    16920        3    13844   533767    32302
TAB:  US_Illinois_Cook Confirmed 3/29/2020    67     3445    83271    26149        1    26149   518385    44608
TAB:  US_Illinois_Cook Confirmed .            68     3727    83271    29226        2     7691   219967    32302
TAB:  US_Illinois_Cook Confirmed 3/31/2020    69     4496    83271    32302        2     7691   413785    38455
TAB:  US_Illinois_Cook Confirmed .            70     5152    83271    29226        2     7691   561455    44608
TAB:  US_Illinois_Cook Confirmed 4/2/2020     71     5575    83271    29226        4     7691   426091    50761
TAB:  US_Illinois_Cook Confirmed .            72     6111    83271    23073        4     7691   432244    35379
TAB:  US_Illinois_Cook Confirmed 4/4/2020     73     7439    83271    29226        5    16920   561455    47685
TAB:  US_Illinois_Cook Confirmed .            74     8034    83271    29226        5    16920   318414    41532
TAB:  US_Illinois_Cook Confirmed 4/6/2020     75     8728    83271    29226        6    16920   370714    44608
TAB:  US_Illinois_Cook Confirmed .            76     9509    83271    29226        6    13844   413785    47685
TAB:  US_Illinois_Cook Confirmed 4/8/2020     77    10520    83271    29226        7    19997   478391    50761
TAB:  US_Illinois_Cook Confirmed .            78    11415    83271    29226        7    23073   552226    50761
TAB:  US_Illinois_Cook Confirmed 4/10/2020    79    12472    83271    32302        7    26149   330720    50761
TAB:  US_Illinois_Cook Confirmed .            80    13417    83271    32302        9    29226   579914    56914
TAB:  US_Illinois_Cook Confirmed 4/12/2020    81    14585    83271    35379        8    32302   432244    63067
TAB:  US_Illinois_Cook Confirmed .            82    15474    83271    35379       10    35379   447626    63067
TAB:  US_Illinois_Cook Confirmed 4/14/2020    83    16323    83271    35379       10    26149   478391    53838
TAB:  US_Illinois_Cook Confirmed .            84    17306    83271    35379       10    29226   509155    59991
TAB:  US_Illinois_Cook Confirmed 4/16/2020    85    18087    83271    35379        9    26149   530691    56914
TAB:  US_Illinois_Cook Confirmed .            86    19391    83271    38455       15    35379   555302    69220
TAB:  US_Illinois_Cook Confirmed 4/18/2020    87    20395    83271    38455       11    38455   573761    72297
TAB:  US_Illinois_Cook Confirmed .            88    21272    83271    41532       10    38455   586067    75373
TAB:  US_Illinois_Cook Confirmed 4/20/2020    89    22101    83271    41532       15    29226   586067    69220
TAB:  US_Illinois_Cook Confirmed .            90    23181    83271    41532       17    32302   586067    66144
TAB:  US_Illinois_Cook Confirmed 4/22/2020    91    24546    83271    41532       15    41532   579914    84602
TAB:  US_Illinois_Cook Confirmed .            92    25811    83271    44608       11    41532   604526   103061
TAB:  US_Illinois_Cook Confirmed 4/24/2020    93    27616    83271    47685       11    44608   579914    84602
TAB:  US_Illinois_Cook Confirmed .            94    29058    83271    47685       11    47685   579914    96908
TAB:  US_Illinois_Cook Confirmed 4/26/2020    95    30574    83271    50761       10    47685   579914   103061
TAB:  US_Illinois_Cook Confirmed .            96    31953    83271    53838       10    50761   579914   109214
TAB:  US_Illinois_Cook Confirmed 4/28/2020    97    33449    83271    53838       10    50761   579914   109214
TAB:  US_Illinois_Cook Confirmed .            98    34880    83271    56914       12    56914   579914   112291
TAB:  US_Illinois_Cook Confirmed 4/30/2020    99    36513    83271    59991        8    56914   579914   121520
TAB:  US_Illinois_Cook Confirmed .           100    38668    83271    63067        8    59991   586067   127673
TAB:  US_Illinois_Cook Confirmed 5/2/2020    101    40227    83271    63067        7    63067   586067   139979
TAB:  US_Illinois_Cook Confirmed .           102    42324    83271    66144        8    66144   592220   139979
TAB:  US_Illinois_Cook Confirmed 5/4/2020    103    43715    83271    69220        9    69220   598373   152285
TAB:  US_Illinois_Cook Confirmed .           104    45223    83271    72297       10    56914   610679   170744
