TAB:  US_California_San_Bernardino Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_California_San_Bernardino Deaths    1/23/2020     1        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .             2        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    1/25/2020     3        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .             4        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    1/27/2020     5        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .             6        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    1/29/2020     7        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .             8        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    1/31/2020     9        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            10        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/2/2020     11        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            12        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/4/2020     13        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            14        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/6/2020     15        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            16        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/8/2020     17        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            18        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/10/2020    19        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            20        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/12/2020    21        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            22        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/14/2020    23        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            24        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/16/2020    25        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            26        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/18/2020    27        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            28        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/20/2020    29        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            30        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/22/2020    31        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            32        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/24/2020    33        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            34        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/26/2020    35        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            36        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    2/28/2020    37        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            38        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    3/1/2020     39        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            40        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    3/3/2020     41        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            42        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    3/5/2020     43        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            44        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    3/7/2020     45        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            46        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    3/9/2020     47        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            48        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    3/11/2020    49        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            50        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    3/13/2020    51        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            52        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    3/15/2020    53        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            54        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    3/17/2020    55        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            56        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    3/19/2020    57        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            58        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    3/21/2020    59        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            60        0      224        0        0      714      714      714
TAB:  US_California_San_Bernardino Deaths    3/23/2020    61        0      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            62        0      224        0        0     1066     4622     4385
TAB:  US_California_San_Bernardino Deaths    3/25/2020    63        1      224        0        0      829     2015     1778
TAB:  US_California_San_Bernardino Deaths    .            64        2      224        0        0     1778     7230     6282
TAB:  US_California_San_Bernardino Deaths    3/27/2020    65        3      224        0        0      117     1469      793
TAB:  US_California_San_Bernardino Deaths    .            66        3      224        0        0      180     1285      737
TAB:  US_California_San_Bernardino Deaths    3/29/2020    67        3      224        0        0      125      431      331
TAB:  US_California_San_Bernardino Deaths    .            68        3      224        0        0      355     1303      829
TAB:  US_California_San_Bernardino Deaths    3/31/2020    69        4      224        0        0      592     1066      829
TAB:  US_California_San_Bernardino Deaths    .            70        6      224       20        1       20       20       20
TAB:  US_California_San_Bernardino Deaths    4/2/2020     71        6      224       20        1       20       20       20
TAB:  US_California_San_Bernardino Deaths    .            72        8      224       37        1       37       37       37
TAB:  US_California_San_Bernardino Deaths    4/4/2020     73       13      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            74       13      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    4/6/2020     75       13      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .            76       16      224       20        2       20     1030       45
TAB:  US_California_San_Bernardino Deaths    4/8/2020     77       17      224       20        4       20      302       37
TAB:  US_California_San_Bernardino Deaths    .            78       20      224       28        4       28      310       70
TAB:  US_California_San_Bernardino Deaths    4/10/2020    79       24      224       62        3       53      343      119
TAB:  US_California_San_Bernardino Deaths    .            80       25      224       53        3       45      475      111
TAB:  US_California_San_Bernardino Deaths    4/12/2020    81       25      224       45        4       28      161       62
TAB:  US_California_San_Bernardino Deaths    .            82       31      224       70        3       62      177      119
TAB:  US_California_San_Bernardino Deaths    4/14/2020    83       31      224       62        5       62      144       95
TAB:  US_California_San_Bernardino Deaths    .            84       31      224       54        2       51       91       60
TAB:  US_California_San_Bernardino Deaths    4/16/2020    85       39      224       78        3       78      740      119
TAB:  US_California_San_Bernardino Deaths    .            86       47      224      161        2      136      690      194
TAB:  US_California_San_Bernardino Deaths    4/18/2020    87       57      224      310        2      310     1021      475
TAB:  US_California_San_Bernardino Deaths    .            88       57      224      401        3      335     1146      517
TAB:  US_California_San_Bernardino Deaths    4/20/2020    89       60      224       62        1       62      964      393
TAB:  US_California_San_Bernardino Deaths    .            90       67      224      359        2       86      997      417
TAB:  US_California_San_Bernardino Deaths    4/22/2020    91       67      224       78        4       78      699      368
TAB:  US_California_San_Bernardino Deaths    .            92       77      224      343        2      128      715      401
TAB:  US_California_San_Bernardino Deaths    4/24/2020    93       80      224      335        2      103     1427      376
TAB:  US_California_San_Bernardino Deaths    .            94       80      224      302        3       86     1485      326
TAB:  US_California_San_Bernardino Deaths    4/26/2020    95       82      224       83        3       83      547      263
TAB:  US_California_San_Bernardino Deaths    .            96       82      224       83        3       80      343      191
TAB:  US_California_San_Bernardino Deaths    4/28/2020    97       85      224       90        5       87      256      197
TAB:  US_California_San_Bernardino Deaths    .            98       89      224      103        5       95      227      161
TAB:  US_California_San_Bernardino Deaths    4/30/2020    99       93      224      103        4      103      211      161
TAB:  US_California_San_Bernardino Deaths    .           100       94      224      111        7      103      186      144
TAB:  US_California_San_Bernardino Deaths    5/2/2020    101       97      224      111        9      111      177      144
TAB:  US_California_San_Bernardino Deaths    .           102       97      224      111       13      103      169      136
TAB:  US_California_San_Bernardino Deaths    5/4/2020    103       97      224      111       13       95      194      128
TAB:  US_California_San_Bernardino Deaths    .           104      101      224      111       14      111      335      136
TAB:  US_California_San_Bernardino Deaths    5/6/2020    105      104      224      119       11      111      649      144
TAB:  US_California_San_Bernardino Deaths    .           106      108      224      119        8      119      277      144
TAB:  US_California_San_Bernardino Deaths    5/8/2020    107      111      224      128       12      128     1055      169
TAB:  US_California_San_Bernardino Deaths    .           108      114      224      136       14      128     1634      161
TAB:  US_California_San_Bernardino Deaths    5/10/2020   109      114      224      136       17      119      914      161
TAB:  US_California_San_Bernardino Deaths    .           110      115      224      136       19      111     1030      177
TAB:  US_California_San_Bernardino Deaths    5/12/2020   111      120      224      144       12      136     1237      202
TAB:  US_California_San_Bernardino Deaths    .           112      138      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    5/14/2020   113      139      224        0        0     3437    10786     5808
TAB:  US_California_San_Bernardino Deaths    .           114      150      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    5/16/2020   115      155      224      177        1      177      244      244
TAB:  US_California_San_Bernardino Deaths    .           116      155      224      161        2      161      219      177
TAB:  US_California_San_Bernardino Deaths    5/18/2020   117      155      224      156        2      156      176      165
TAB:  US_California_San_Bernardino Deaths    .           118      157      224      156        4      156      161      159
TAB:  US_California_San_Bernardino Deaths    5/20/2020   119      158      224      161        8      161      161      161
TAB:  US_California_San_Bernardino Deaths    .           120      164      224      177        1      177      177      177
TAB:  US_California_San_Bernardino Deaths    5/22/2020   121      173      224        0        0        0        0        0
TAB:  US_California_San_Bernardino Deaths    .           122      176      224      219        1      219      227      227
TAB:  US_California_San_Bernardino Deaths    5/24/2020   123      176      224      186        1      186     1055      219
TAB:  US_California_San_Bernardino Deaths    .           124      176      224      177        2      177      922      268
TAB:  US_California_San_Bernardino Deaths    5/26/2020   125      176      224      177        3      177     1493      277
TAB:  US_California_San_Bernardino Deaths    .           126      176      224      177        3      177     1187      368
TAB:  US_California_San_Bernardino Deaths    5/28/2020   127      190      224      227        1      227     1435      426
TAB:  US_California_San_Bernardino Deaths    .           128      199      224      310        1      310     1410      624
TAB:  US_California_San_Bernardino Deaths    5/30/2020   129      204      224      310        2      310     1493      674
TAB:  US_California_San_Bernardino Deaths    .           130      204      224      211        1      211     1187      450
TAB:  US_California_San_Bernardino Deaths    6/1/2020    131      204      224      202        2      202     1311      417
TAB:  US_California_San_Bernardino Deaths    .           132      208      224      211        5      211     1096      376
TAB:  US_California_San_Bernardino Deaths    6/3/2020    133      209      224      211        7      211     1204      401
TAB:  US_California_San_Bernardino Deaths    .           134      209      224      211        9      211     1079      401
TAB:  US_California_San_Bernardino Deaths    6/5/2020    135      217      224      277        3      244      939      426
TAB:  US_California_San_Bernardino Deaths    .           136      224      224      343        5      277     1212      450
TAB:  US_California_San_Bernardino Deaths    6/7/2020    137      224      224      326        5      277      815      426
TAB:  US_California_San_Bernardino Deaths    .           138      224      224      302        5      235     1485      393
TAB:  US_California_San_Bernardino Deaths    6/9/2020    139      224      224      293        6      227      558      368
