TAB:  Canada_Ontario Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Canada_Ontario Deaths    1/23/2020     1        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .             2        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    1/25/2020     3        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .             4        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    1/27/2020     5        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .             6        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    1/29/2020     7        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .             8        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    1/31/2020     9        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .            10        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    2/2/2020     11        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .            12        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    2/4/2020     13        0     2536        0        0   225692   225692   225692
TAB:  Canada_Ontario Deaths    .            14        0     2536        0        0   140981   140981   140981
TAB:  Canada_Ontario Deaths    2/6/2020     15        0     2536        0        0   208313   208313   208313
TAB:  Canada_Ontario Deaths    .            16        0     2536        0        0    35514    35514    35514
TAB:  Canada_Ontario Deaths    2/8/2020     17        0     2536        0        0   177570   177570   177570
TAB:  Canada_Ontario Deaths    .            18        0     2536        0        0   140465   140465   140465
TAB:  Canada_Ontario Deaths    2/10/2020    19        0     2536        0        0    88084    88084    88084
TAB:  Canada_Ontario Deaths    .            20        0     2536        0        0    88084    88084    88084
TAB:  Canada_Ontario Deaths    2/12/2020    21        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .            22        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    2/14/2020    23        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .            24        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    2/16/2020    25        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .            26        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    2/18/2020    27        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .            28        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    2/20/2020    29        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .            30        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    2/22/2020    31        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .            32        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    2/24/2020    33        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .            34        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    2/26/2020    35        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .            36        0     2536        0        0      603      603      603
TAB:  Canada_Ontario Deaths    2/28/2020    37        0     2536        0        0      603      603      603
TAB:  Canada_Ontario Deaths    .            38        0     2536        0        0   122540   211880   211880
TAB:  Canada_Ontario Deaths    3/1/2020     39        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .            40        0     2536        0        0    10262    10262    10262
TAB:  Canada_Ontario Deaths    3/3/2020     41        0     2536        0        0      603      603      603
TAB:  Canada_Ontario Deaths    .            42        0     2536        0        0      603      603      603
TAB:  Canada_Ontario Deaths    3/5/2020     43        0     2536        0        0      603      603      603
TAB:  Canada_Ontario Deaths    .            44        0     2536        0        0      603   139442   139442
TAB:  Canada_Ontario Deaths    3/7/2020     45        0     2536        0        0      603    44066    44066
TAB:  Canada_Ontario Deaths    .            46        0     2536        0        0      603     5432     5432
TAB:  Canada_Ontario Deaths    3/9/2020     47        0     2536        0        0      603    17505    17505
TAB:  Canada_Ontario Deaths    .            48        0     2536        0        0      603    50102    17505
TAB:  Canada_Ontario Deaths    3/11/2020    49        0     2536        0        0      603   145479   145479
TAB:  Canada_Ontario Deaths    .            50        0     2536        0        0      603   110467    54931
TAB:  Canada_Ontario Deaths    3/13/2020    51        0     2536        0        0      603    95979     3018
TAB:  Canada_Ontario Deaths    .            52        0     2536        0        0     1810    80285     6640
TAB:  Canada_Ontario Deaths    3/15/2020    53        0     2536        0        0    16298   108052    29578
TAB:  Canada_Ontario Deaths    .            54        0     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    3/17/2020    55        1     2536        0        0    18713    18713    18713
TAB:  Canada_Ontario Deaths    .            56        1     2536        0        0      603    18713    18713
TAB:  Canada_Ontario Deaths    3/19/2020    57        1     2536        0        0      603    83907    83907
TAB:  Canada_Ontario Deaths    .            58        2     2536        0        0      603     4225     4225
TAB:  Canada_Ontario Deaths    3/21/2020    59        3     2536        0        0      603   123747     4225
TAB:  Canada_Ontario Deaths    .            60        5     2536        0        0      603    15091     3018
TAB:  Canada_Ontario Deaths    3/23/2020    61        6     2536      140        1      140      140      140
TAB:  Canada_Ontario Deaths    .            62        7     2536       46        2       46       46       46
TAB:  Canada_Ontario Deaths    3/25/2020    63        8     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    .            64       13     2536       46        1       46      421      327
TAB:  Canada_Ontario Deaths    3/27/2020    65       18     2536      234        1      234     7542      608
TAB:  Canada_Ontario Deaths    .            66       18     2536      140        1      140      890      796
TAB:  Canada_Ontario Deaths    3/29/2020    67       21     2536       46        3       46      421      234
TAB:  Canada_Ontario Deaths    .            68       31     2536      234        2      234    16629      796
TAB:  Canada_Ontario Deaths    3/31/2020    69       33     2536      140        2      140     1452      515
TAB:  Canada_Ontario Deaths    .            70       37     2536       53        1       53      457      212
TAB:  Canada_Ontario Deaths    4/2/2020     71       53     2536      421        1      421     3700     1171
TAB:  Canada_Ontario Deaths    .            72       67     2536      983        1      983    17473     1920
TAB:  Canada_Ontario Deaths    4/4/2020     73       94     2536     5668        1     5668    11477     5855
TAB:  Canada_Ontario Deaths    .            74      119     2536        0        0        0        0        0
TAB:  Canada_Ontario Deaths    4/6/2020     75      150     2536     2108        1     2108     2108     2108
TAB:  Canada_Ontario Deaths    .            76      153     2536      234        1      234     1264      327
