Country_Region_Safe                                                                                 Smoothing  Classification_Code  nCases   Start_Cases  Peak_Cases  nDeaths  Start_Deaths  Peak_Deaths  Deaths_per_Case  
Dominican_Republic_SMO5                                                                             SMO5       c=dD                 20126    55           134         539      55            82           2.68%            
US_Colorado_Denver_SMO5                                                                             SMO5       c=dD                 6138     55           97          348      61            114          5.67%            
US_Nevada_Clark_SMO5                                                                                SMO5       c=dD                 7592     55           73          363      55            81           4.78%            
US_Wisconsin_Milwaukee_SMO5                                                                         SMO5       c=dD                 8900     55           125         325      57            78           3.65%            
US_Pennsylvania_Montgomery_SMO5                                                                     SMO5       c=dD                 7610     56           78          727      60            101          9.55%            
US_California_Alameda_SMO5                                                                          SMO5       c=dD                 3945     57           128         101      60            83           2.56%            
US_Maryland_Montgomery_SMO5                                                                         SMO5       c=dD                 12818    57           118         659      64            97           5.14%            
US_Georgia_Cobb_SMO5                                                                                SMO5       c=dD                 3298     58           103         196      55            127          5.94%            
US_New_York_Erie_SMO5                                                                               SMO5       c=dD                 6531     58           98          560      61            101          8.57%            
US_Texas_Travis_SMO5                                                                                SMO5       c=dD                 3697     58           130         97       66            98           2.62%            
US_Delaware_New_Castle_SMO5                                                                         SMO5       c=dD                 4095     60           121         176      65            116          4.30%            
US_Texas_Tarrant_SMO5                                                                               SMO5       c=dD                 6150     60           110         178      63            107          2.89%            
US_Virginia_Fairfax_SMO5                                                                            SMO5       c=dD                 12603    61           124         414      63            100          3.28%            
US_Pennsylvania_Chester_SMO5                                                                        SMO5       c=dD                 3102     62           134         298      69            104          9.61%            
Congo_Kinshasa_SMO5                                                                                 SMO5       c=dD                 4106     64           131         88       59            112          2.14%            
US_Pennsylvania_Lancaster_SMO5                                                                      SMO5       c=dD                 3503     65           90          318      65            92           9.08%            
US_Virginia_Prince_William_SMO5                                                                     SMO5       c=dD                 6278     65           123         118      82            109          1.88%            
US_Virginia_Loudoun_SMO5                                                                            SMO5       c=dD                 3147     66           125         67       72            108          2.13%            
Kuwait_SMO5                                                                                         SMO5       c=d=                 32510    41           117         269      77            126          0.83%            
Qatar_SMO5                                                                                          SMO5       c=d=                 70158    45           128         57       67            134          0.08%            
Russia_SMO5                                                                                         SMO5       c=d=                 476043   50           108         5963     59            131          1.25%            
US_California_Los_Angeles_SMO5                                                                      SMO5       c=d=                 64690    50           131         2656     53            94           4.11%            
Peru_SMO5                                                                                           SMO5       c=d=                 199696   51           128         5571     55            129          2.79%            
US_Ohio_Cuyahoga_SMO5                                                                               SMO5       c=d=                 4910     56           119         283      61            119          5.76%            
Belarus_SMO5                                                                                        SMO5       c=d=                 49453    57           114         276      67            133          0.56%            
US_Minnesota_Hennepin_SMO5                                                                          SMO5       c=d=                 9480     58           119         681      64            103          7.18%            
US_New_York_Monroe_SMO5                                                                             SMO5       c=d=                 3203     58           117         236      57            91           7.37%            
US_Georgia_DeKalb_SMO5                                                                              SMO5       c=d=                 4054     59           124         125      64            119          3.08%            
US_Maryland_Prince_Georges_Prince_George_s_SMO5                                                     SMO5       c=d=                 16523    60           102         602      60            99           3.64%            
US_Ohio_Franklin_SMO5                                                                               SMO5       c=d=                 6586     60           103         300      61            116          4.56%            
US_Maryland_Baltimore_SMO5                                                                          SMO5       c=d=                 6814     61           116         388      65            115          5.69%            
