TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    1/23/2020     1        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .             2        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    1/25/2020     3        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .             4        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    1/27/2020     5        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .             6        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    1/29/2020     7        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .             8        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    1/31/2020     9        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            10        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/2/2020     11        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            12        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/4/2020     13        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            14        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/6/2020     15        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            16        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/8/2020     17        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            18        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/10/2020    19        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            20        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/12/2020    21        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            22        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/14/2020    23        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            24        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/16/2020    25        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            26        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/18/2020    27        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            28        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/20/2020    29        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            30        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/22/2020    31        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            32        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/24/2020    33        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            34        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/26/2020    35        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            36        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    2/28/2020    37        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            38        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/1/2020     39        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            40        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/3/2020     41        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            42        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/5/2020     43        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            44        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/7/2020     45        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            46        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/9/2020     47        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            48        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/11/2020    49        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            50        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/13/2020    51        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            52        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/15/2020    53        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            54        0      607        0        0      302      302      302
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/17/2020    55        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            56        0      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/19/2020    57        1      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            58        1      607        0        0      307      307      307
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/21/2020    59        1      607        0        0      307      921      921
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            60        1      607        0        0      307    62383     2765
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/23/2020    61        1      607        0        0      307     3380      921
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            62        2      607        0        0      307     8297     2151
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/25/2020    63        2      607        0        0      921    15058     9526
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            64        2      607        0        0     3995    41486    12599
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/27/2020    65        2      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            66        2      607    -            1     3716     3716     3716
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/29/2020    67        3      607       11        2       11      123      123
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            68        6      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    3/31/2020    69        7      607        0        0        0        0        0
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            70        7      607       11        1       11       11       11
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/2/2020     71        9      607       11        3       11      100      100
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            72        9      607       11        5       11       33       33
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/4/2020     73       13      607       56        1       56      482       78
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            74       16      607       56        2       56     4137      280
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/6/2020     75       23      607      325        1      325     4047      616
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            76       26      607      414        1      414      863      863
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/8/2020     77       32      607       78        1       78     1401     1334
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            78       34      607       56        2       56     2859      728
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/10/2020    79       42      607       78        1       78     2320      482
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            80       50      607      145        1      145     2433      616
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/12/2020    81       55      607      168        2      145     2433      751
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            82       63      607      213        2      168     3890      571
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/14/2020    83       72      607      257        2      213     2747      683
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            84       72      607      190        4      123     3666      392
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/16/2020    85       72      607      145        3       78     2186      302
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            86       77      607       78        3       78     1850      257
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/18/2020    87       95      607      257        3      168     2477      325
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            88      105      607      302        3      213     3666      437
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/20/2020    89      112      607      257        3      235     2208      437
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            90      118      607      302        3      123     2724      392
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/22/2020    91      132      607      347        4      280     4361      504
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            92      150      607      414        3      370     1760      639
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/24/2020    93      158      607      414        3      414     1760      751
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            94      173      607      482        5      482     2164      728
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/26/2020    95      174      607      482        5      235     2859      728
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            96      198      607      549        5      526     4271      863
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/28/2020    97      206      607      571        5      504     1939      773
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .            98      224      607      616        5      571     1984      863
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    4/30/2020    99      240      607      683        4      639     2567      997
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           100      243      607      661        4      280     3352      818
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/2/2020    101      269      607      728        4      661     4227     1020
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           102      277      607      728        4      459     2859     1020
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/4/2020    103      284      607      744        4      327     1768      773
