TAB:  US_Maryland_Anne_Arundel Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Maryland_Anne_Arundel Confirmed 3/29/2020    67       99     4309     2467        1     2467    12019     5651
TAB:  US_Maryland_Anne_Arundel Confirmed .            68      110     4309       79        1       79    24754     6924
TAB:  US_Maryland_Anne_Arundel Confirmed 3/31/2020    69      127     4309      238        3      238    10745     3900
TAB:  US_Maryland_Anne_Arundel Confirmed .            70      158     4309      397        2      397    30963     2945
TAB:  US_Maryland_Anne_Arundel Confirmed 4/2/2020     71      206     4309     4855        2     1034     9631     4855
TAB:  US_Maryland_Anne_Arundel Confirmed .            72      249     4309     3104        2     1989    11541     7720
TAB:  US_Maryland_Anne_Arundel Confirmed 4/4/2020     73      289     4309     2626        1     2626    12019     8357
TAB:  US_Maryland_Anne_Arundel Confirmed .            74      319     4309     2149        2      557    18068     6288
TAB:  US_Maryland_Anne_Arundel Confirmed 4/6/2020     75      343     4309      397        2      397     7402     4059
TAB:  US_Maryland_Anne_Arundel Confirmed .            76      370     4309      460        3      460     3855     2013
TAB:  US_Maryland_Anne_Arundel Confirmed 4/8/2020     77      466     4309     1793        2     1793     4531     3521
TAB:  US_Maryland_Anne_Arundel Confirmed .            78      505     4309     2125        2     1906     3898     3412
TAB:  US_Maryland_Anne_Arundel Confirmed 4/10/2020    79      554     4309     3263        3     1989     4537     3263
TAB:  US_Maryland_Anne_Arundel Confirmed .            80      615     4309     2206        2      981     3557     3093
TAB:  US_Maryland_Anne_Arundel Confirmed 4/12/2020    81      659     4309     2075        2      867     3362     2699
TAB:  US_Maryland_Anne_Arundel Confirmed .            82      724     4309     2149        4     1193     3741     2626
TAB:  US_Maryland_Anne_Arundel Confirmed 4/14/2020    83      783     4309     2149        3     1353     4377     2626
TAB:  US_Maryland_Anne_Arundel Confirmed .            84      845     4309     2886        3     1554     4345     2696
TAB:  US_Maryland_Anne_Arundel Confirmed 4/16/2020    85      896     4309     2269        2     1636     3262     2565
TAB:  US_Maryland_Anne_Arundel Confirmed .            86      966     4309     2740        3     1887     3594     2591
TAB:  US_Maryland_Anne_Arundel Confirmed 4/18/2020    87     1005     4309     2077        2     1617     2859     2323
TAB:  US_Maryland_Anne_Arundel Confirmed .            88     1047     4309     2209        2     1305     2749     2209
TAB:  US_Maryland_Anne_Arundel Confirmed 4/20/2020    89     1098     4309     1506        2     1464     2669     2165
TAB:  US_Maryland_Anne_Arundel Confirmed .            90     1157     4309     2414        3     1720     2590     2155
TAB:  US_Maryland_Anne_Arundel Confirmed 4/22/2020    91     1190     4309     2149        8     1671     2626     2149
TAB:  US_Maryland_Anne_Arundel Confirmed .            92     1294     4309     2467       10     2149     4696     2626
TAB:  US_Maryland_Anne_Arundel Confirmed 4/24/2020    93     1373     4309     2467       14     2308     6765     3104
TAB:  US_Maryland_Anne_Arundel Confirmed .            94     1430     4309     2467       10     2467     8994     3581
TAB:  US_Maryland_Anne_Arundel Confirmed 4/26/2020    95     1510     4309     2626       16     2626    13929     3900
TAB:  US_Maryland_Anne_Arundel Confirmed .            96     1544     4309     2626       14     1989    25869     3741
TAB:  US_Maryland_Anne_Arundel Confirmed 4/28/2020    97     1571     4309     2626       14     1671    18864     3581
TAB:  US_Maryland_Anne_Arundel Confirmed .            98     1662     4309     2703        7     2182     7949     3063
TAB:  US_Maryland_Anne_Arundel Confirmed 4/30/2020    99     1725     4309     2756        6     2472     6063     3165
TAB:  US_Maryland_Anne_Arundel Confirmed .           100     1807     4309     2785       13     2785     6765     3900
TAB:  US_Maryland_Anne_Arundel Confirmed 5/2/2020    101     1885     4309     2945       13     2785     7720     4377
TAB:  US_Maryland_Anne_Arundel Confirmed .           102     1959     4309     2945       10     2945     8676     4855
TAB:  US_Maryland_Anne_Arundel Confirmed 5/4/2020    103     2018     4309     3104       14     3104    10427     5173
TAB:  US_Maryland_Anne_Arundel Confirmed .           104     2045     4309     3104       13     2149    10745     4377
TAB:  US_Maryland_Anne_Arundel Confirmed 5/6/2020    105     2085     4309     3127        7     2187     5275     3718
TAB:  US_Maryland_Anne_Arundel Confirmed .           106     2194     4309     3192        5     3011     5432     3949
TAB:  US_Maryland_Anne_Arundel Confirmed 5/8/2020    107     2290     4309     3303        7     3248     8654     4832
TAB:  US_Maryland_Anne_Arundel Confirmed .           108     2372     4309     3422       12     3263    19342     5651
TAB:  US_Maryland_Anne_Arundel Confirmed 5/10/2020   109     2463     4309     3581        7     3422    17591     5810
TAB:  US_Maryland_Anne_Arundel Confirmed .           110     2492     4309     3581       11     2785    28734     5810
TAB:  US_Maryland_Anne_Arundel Confirmed 5/12/2020   111     2520     4309     3609        4     2571     8959     4596
TAB:  US_Maryland_Anne_Arundel Confirmed .           112     2596     4309     3591        4     2924     7321     4769
TAB:  US_Maryland_Anne_Arundel Confirmed 5/14/2020   113     2661     4309     3631        4     3091     6571     4679
TAB:  US_Maryland_Anne_Arundel Confirmed .           114     2752     4309     3900        8     3581     6765     5173
TAB:  US_Maryland_Anne_Arundel Confirmed 5/16/2020   115     2801     4309     3900        9     3741     6447     5333
TAB:  US_Maryland_Anne_Arundel Confirmed .           116     2856     4309     3900       13     3263    11541     5173
TAB:  US_Maryland_Anne_Arundel Confirmed 5/18/2020   117     2893     4309     3900       12     3104    12019     4696
TAB:  US_Maryland_Anne_Arundel Confirmed .           118     2981     4309     3900        9     3900    24595     5014
TAB:  US_Maryland_Anne_Arundel Confirmed 5/20/2020   119     3033     4309     4123        7     3903    12480     5003
TAB:  US_Maryland_Anne_Arundel Confirmed .           120     3132     4309     5492        9     4059    18227     5333
TAB:  US_Maryland_Anne_Arundel Confirmed 5/22/2020   121     3207     4309     5810        9     4059    25073     5333
TAB:  US_Maryland_Anne_Arundel Confirmed .           122     3282     4309     4218        7     4218    13133     5810
TAB:  US_Maryland_Anne_Arundel Confirmed 5/24/2020   123     3307     4309     5969       11     3581    13929     5492
TAB:  US_Maryland_Anne_Arundel Confirmed .           124     3357     4309     5969       10     3422    14088     5492
TAB:  US_Maryland_Anne_Arundel Confirmed 5/26/2020   125     3394     4309     5860        5     3505     9981     5164
TAB:  US_Maryland_Anne_Arundel Confirmed .           126     3448     4309     5711        7     3678     6968     4972
TAB:  US_Maryland_Anne_Arundel Confirmed 5/28/2020   127     3556     4309     5810       17     4377     8198     5810
TAB:  US_Maryland_Anne_Arundel Confirmed .           128     3643     4309     6129       10     4537    10427     6288
TAB:  US_Maryland_Anne_Arundel Confirmed 5/30/2020   129     3743     4309     6288        9     4537    27142     6924
TAB:  US_Maryland_Anne_Arundel Confirmed .           130     3785     4309     4696        7     4696    30963     7084
TAB:  US_Maryland_Anne_Arundel Confirmed 6/1/2020    131     3842     4309     6447        7     4059    26824     6924
TAB:  US_Maryland_Anne_Arundel Confirmed .           132     3924     4309     4855        7     4377    28257     7402
TAB:  US_Maryland_Anne_Arundel Confirmed 6/3/2020    133     4009     4309     5014        6     4855    30963     7402
TAB:  US_Maryland_Anne_Arundel Confirmed .           134     4080     4309     5014        6     5014    23640     7561
TAB:  US_Maryland_Anne_Arundel Confirmed 6/5/2020    135     4150     4309     5173        5     5014    24595     8039
TAB:  US_Maryland_Anne_Arundel Confirmed .           136     4210     4309     5173        6     4855    28734     8198
TAB:  US_Maryland_Anne_Arundel Confirmed 6/7/2020    137     4236     4309     5333        6     4377    28734     8516
TAB:  US_Maryland_Anne_Arundel Confirmed .           138     4267     4309     5240        5     4338    13778     7253
TAB:  US_Maryland_Anne_Arundel Confirmed 6/9/2020    139     4309     4309     5252        4     4448    11280     7032
