TAB:  US_Massachusetts_Middlesex Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Massachusetts_Middlesex Confirmed .            34        0    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed 2/26/2020    35        0    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed .            36        0    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed 2/28/2020    37        0    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed .            38        0    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed 3/1/2020     39        0    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed .            40        0    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed 3/3/2020     41        0    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed .            42        0    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed 3/5/2020     43        0    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed .            44        1    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed 3/7/2020     45        1    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed .            46        7    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed 3/9/2020     47        7    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed .            48       15    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed 3/11/2020    49       41    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed .            50       49    22845      417        1      417      417      417
TAB:  US_Massachusetts_Middlesex Confirmed 3/13/2020    51       60    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed .            52       65    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed 3/15/2020    53       65    22845        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Confirmed .            54       83    22845      415        5      415      415      415
TAB:  US_Massachusetts_Middlesex Confirmed 3/17/2020    55       89    22845      441        6      441      441      441
TAB:  US_Massachusetts_Middlesex Confirmed .            56      100    22845      422        6      422     2954     2954
TAB:  US_Massachusetts_Middlesex Confirmed 3/19/2020    57      119    22845      422        5      422    27430    27430
TAB:  US_Massachusetts_Middlesex Confirmed .            58      144    22845      422        5      422      422      422
TAB:  US_Massachusetts_Middlesex Confirmed 3/21/2020    59      177    22845      422        5      422      422      422
TAB:  US_Massachusetts_Middlesex Confirmed .            60      199    22845      422        5      422      422      422
TAB:  US_Massachusetts_Middlesex Confirmed 3/23/2020    61      232    22845      422        4      422     1266     1266
TAB:  US_Massachusetts_Middlesex Confirmed .            62      304    22845      422        2      422     2954     1266
TAB:  US_Massachusetts_Middlesex Confirmed 3/25/2020    63      446    22845     2954        1     2954    88199     3798
TAB:  US_Massachusetts_Middlesex Confirmed .            64      538    22845     7174        1     7174    10550    10550
TAB:  US_Massachusetts_Middlesex Confirmed 3/27/2020    65      685    22845     3798        1     3798    33338    20678
TAB:  US_Massachusetts_Middlesex Confirmed .            66      842    22845     3798        1     3798   110143    54438
TAB:  US_Massachusetts_Middlesex Confirmed 3/29/2020    67      981    22845     2110        1     2110   106767     8018
TAB:  US_Massachusetts_Middlesex Confirmed .            68     1141    22845     2954        2     2954    35870     9706
TAB:  US_Massachusetts_Middlesex Confirmed 3/31/2020    69     1340    22845     3798        3     3798    17302    12238
TAB:  US_Massachusetts_Middlesex Confirmed .            70     1582    22845     5486        2     5486   100015    14770
TAB:  US_Massachusetts_Middlesex Confirmed 4/2/2020     71     1870    22845    29118        2     8018    52750    19834
TAB:  US_Massachusetts_Middlesex Confirmed .            72     2202    22845    12238        1    12238   107611    26586
TAB:  US_Massachusetts_Middlesex Confirmed 4/4/2020     73     2468    22845    13926        1    13926   115207    29962
TAB:  US_Massachusetts_Middlesex Confirmed .            74     2632    22845     3798        1     3798   122803    21522
TAB:  US_Massachusetts_Middlesex Confirmed 4/6/2020     75     2950    22845    11394        3     4642   164159    15614
TAB:  US_Massachusetts_Middlesex Confirmed .            76     3187    22845     9706        3     4642    69630    13082
TAB:  US_Massachusetts_Middlesex Confirmed 4/8/2020     77     3545    22845    10550        4     7174    93263    14770
TAB:  US_Massachusetts_Middlesex Confirmed .            78     4045    22845    12238        3    12238   133775    26586
TAB:  US_Massachusetts_Middlesex Confirmed 4/10/2020    79     4447    22845    17302        4    13926    90731    20678
TAB:  US_Massachusetts_Middlesex Confirmed .            80     4872    22845    15614        2    15614   154031    25742
TAB:  US_Massachusetts_Middlesex Confirmed 4/12/2020    81     5660    22845    20678        2    20678   151499    43466
TAB:  US_Massachusetts_Middlesex Confirmed .            82     5983    22845    22366        2    22366   162471    48530
TAB:  US_Massachusetts_Middlesex Confirmed 4/14/2020    83     6254    22845    22366        2     8018   145591    41778
TAB:  US_Massachusetts_Middlesex Confirmed .            84     6681    22845    24054        3     8862   146435    33338
TAB:  US_Massachusetts_Middlesex Confirmed 4/16/2020    85     7206    22845    11280        2    11280   139965    33842
TAB:  US_Massachusetts_Middlesex Confirmed .            86     7744    22845    13926        3    13926   123647    32494
TAB:  US_Massachusetts_Middlesex Confirmed 4/18/2020    87     8297    22845    29118        3    16458    98327    30806
TAB:  US_Massachusetts_Middlesex Confirmed .            88     8737    22845    19834        2    17302    81446    29118
TAB:  US_Massachusetts_Middlesex Confirmed 4/20/2020    89     9179    22845    27430        5    13082    68786    29118
TAB:  US_Massachusetts_Middlesex Confirmed .            90     9621    22845    26047        5    13176    59755    27273
TAB:  US_Massachusetts_Middlesex Confirmed 4/22/2020    91    10094    22845    25521        3    15366    53048    24987
TAB:  US_Massachusetts_Middlesex Confirmed .            92    10724    22845    25742       10    20678    66254    30806
TAB:  US_Massachusetts_Middlesex Confirmed 4/24/2020    93    11681    22845    29118        6    24898   102547    35026
TAB:  US_Massachusetts_Middlesex Confirmed .            94    12253    22845    30806        7    26586    76382    35026
TAB:  US_Massachusetts_Middlesex Confirmed 4/26/2020    95    12648    22845    31650        6    18990   113519    35870
TAB:  US_Massachusetts_Middlesex Confirmed .            96    12953    22845    30806        6    13926   106767    35870
TAB:  US_Massachusetts_Middlesex Confirmed 4/28/2020    97    13417    22845    29378        4    14760    43709    30525
TAB:  US_Massachusetts_Middlesex Confirmed .            98    13799    22845    27147        3    15386    38907    28715
TAB:  US_Massachusetts_Middlesex Confirmed 4/30/2020    99    14208    22845    28274       11    16458    37558    27430
TAB:  US_Massachusetts_Middlesex Confirmed .           100    14607    22845    26586        9    17302    35870    26586
TAB:  US_Massachusetts_Middlesex Confirmed 5/2/2020    101    15048    22845    27430       10    18146    35026    26586
TAB:  US_Massachusetts_Middlesex Confirmed .           102    15370    22845    26575        7    18615    37359    26318
TAB:  US_Massachusetts_Middlesex Confirmed 5/4/2020    103    15757    22845    25823        5    19111    32721    25450
TAB:  US_Massachusetts_Middlesex Confirmed .           104    15980    22845    25182        6    18191    31537    23752
TAB:  US_Massachusetts_Middlesex Confirmed 5/6/2020    105    16327    22845    25055        5    19041    30605    23513
TAB:  US_Massachusetts_Middlesex Confirmed .           106    16676    22845    24548        5    19891    30176    23772
TAB:  US_Massachusetts_Middlesex Confirmed 5/8/2020    107    17014    22845    24898       11    20678    89043    25742
TAB:  US_Massachusetts_Middlesex Confirmed .           108    17307    22845    24054       15    20678    61190    25742
TAB:  US_Massachusetts_Middlesex Confirmed 5/10/2020   109    17589    22845    24032        6    21108    32073    24215
TAB:  US_Massachusetts_Middlesex Confirmed .           110    17774    22845    22583        6    19268    27417    23550
TAB:  US_Massachusetts_Middlesex Confirmed 5/12/2020   111    17953    22845    23760        6    18886    26874    23083
TAB:  US_Massachusetts_Middlesex Confirmed .           112    18201    22845    21245        7    19636    26606    23121
TAB:  US_Massachusetts_Middlesex Confirmed 5/14/2020   113    18381    22845    23321        7    19905    26080    22796
TAB:  US_Massachusetts_Middlesex Confirmed .           114    18683    22845    21522       21    21522    27430    24054
TAB:  US_Massachusetts_Middlesex Confirmed 5/16/2020   115    18883    22845    22366       25    21522    29962    24054
TAB:  US_Massachusetts_Middlesex Confirmed .           116    19129    22845    22366       24    21522    36714    24054
TAB:  US_Massachusetts_Middlesex Confirmed 5/18/2020   117    19345    22845    22366       26    22366    39246    26586
TAB:  US_Massachusetts_Middlesex Confirmed .           118    19504    22845    23210       28    20678    54438    24898
TAB:  US_Massachusetts_Middlesex Confirmed 5/20/2020   119    19708    22845    22881       12    21751    34745    23823
TAB:  US_Massachusetts_Middlesex Confirmed .           120    19930    22845    22353       16    22353    33150    24546
TAB:  US_Massachusetts_Middlesex Confirmed 5/22/2020   121    20085    22845    22353       10    22353    29270    24209
TAB:  US_Massachusetts_Middlesex Confirmed .           122    20232    22845    22585       18    22451    26606    23792
TAB:  US_Massachusetts_Middlesex Confirmed 5/24/2020   123    20437    22845    22627       15    22627    26342    23954
TAB:  US_Massachusetts_Middlesex Confirmed .           124    20539    22845    23014       15    22122    25309    23779
TAB:  US_Massachusetts_Middlesex Confirmed 5/26/2020   125    20601    22845    22619       14    21042    24075    22619
TAB:  US_Massachusetts_Middlesex Confirmed .           126    20706    22845    22647       16    21102    23598    22409
TAB:  US_Massachusetts_Middlesex Confirmed 5/28/2020   127    20857    22845    22885       17    21696    23598    22647
TAB:  US_Massachusetts_Middlesex Confirmed .           128    20972    22845    23210       50    22366    24054    23210
TAB:  US_Massachusetts_Middlesex Confirmed 5/30/2020   129    21124    22845    23210       67    22366    25742    24054
TAB:  US_Massachusetts_Middlesex Confirmed .           130    21287    22845    23210       73    23210    85667    24898
TAB:  US_Massachusetts_Middlesex Confirmed 6/1/2020    131    22224    22845    23835       15    23835    23835    23835
TAB:  US_Massachusetts_Middlesex Confirmed .           132    22296    22845    24075        9    24075    24075    24075
TAB:  US_Massachusetts_Middlesex Confirmed 6/3/2020    133    22403    22845    24317        9    22602    24317    24317
TAB:  US_Massachusetts_Middlesex Confirmed .           134    22485    22845    24317        5    22602    24317    24317
TAB:  US_Massachusetts_Middlesex Confirmed 6/5/2020    135    22583    22845    24561       10    22581    24561    22829
TAB:  US_Massachusetts_Middlesex Confirmed .           136    22686    22845    24898       15    23210    24898    24898
TAB:  US_Massachusetts_Middlesex Confirmed 6/7/2020    137    22754    22845    24778        9    22863    24778    24539
TAB:  US_Massachusetts_Middlesex Confirmed .           138    22812    22845    24561        8    23076    24561    23571
TAB:  US_Massachusetts_Middlesex Confirmed 6/9/2020    139    22845    22845    24484       10    23025    24750    24484
