TEST last_day=  735 method= last 
MH:     0 Country_Region                                            141 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/6/20  6/7/20  6/8/20
aaa nday1  138 6/8/2020       68135.00000       11.12925
TAB:  China_Hubei Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed China_Hubei 6/8/2020        138   68135    68819   68135    69224    10   999 undefine  
GP: Confirmed China_Hubei 6/8/2020        138   68135    68819   68135    69224    10   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    -       68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    -       68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    -       68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/7/2020        137   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    -       68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    -       68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    -       68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/6/2020        136   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/5/2020        135   68135    -       68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/5/2020        135   68135    -       68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/5/2020        135   68135    -       68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/5/2020        135   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/5/2020        135   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/5/2020        135   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/5/2020        135   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/5/2020        135   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/5/2020        135   68135    68819   68135    69224    11   999 undefine  
GP: Confirmed China_Hubei 6/5/2020        135   68135    68819   68135    69224    11   999 undefine  
