TAB:  US_Florida_Broward Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Florida_Broward Deaths    1/23/2020     1        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .             2        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    1/25/2020     3        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .             4        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    1/27/2020     5        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .             6        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    1/29/2020     7        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .             8        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    1/31/2020     9        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            10        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/2/2020     11        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            12        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/4/2020     13        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            14        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/6/2020     15        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            16        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/8/2020     17        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            18        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/10/2020    19        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            20        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/12/2020    21        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            22        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/14/2020    23        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            24        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/16/2020    25        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            26        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/18/2020    27        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            28        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/20/2020    29        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            30        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/22/2020    31        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            32        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/24/2020    33        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            34        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/26/2020    35        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            36        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    2/28/2020    37        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            38        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    3/1/2020     39        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            40        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    3/3/2020     41        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            42        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    3/5/2020     43        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            44        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    3/7/2020     45        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            46        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    3/9/2020     47        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            48        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    3/11/2020    49        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            50        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    3/13/2020    51        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            52        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    3/15/2020    53        0      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            54        0      346        0        0     5788     5788     5788
TAB:  US_Florida_Broward Deaths    3/17/2020    55        1      346        0        0      148     1632     1632
TAB:  US_Florida_Broward Deaths    .            56        1      346        0        0      148     1632      445
TAB:  US_Florida_Broward Deaths    3/19/2020    57        1      346        0        0      742    45270     2226
TAB:  US_Florida_Broward Deaths    .            58        1      346        0        0     1038    31911     1632
TAB:  US_Florida_Broward Deaths    3/21/2020    59        3      346        0        0     1632    19444     2820
TAB:  US_Florida_Broward Deaths    .            60        3      346        0        0     2820    22412     5491
TAB:  US_Florida_Broward Deaths    3/23/2020    61        3      346        0        0     2226    15881     5788
TAB:  US_Florida_Broward Deaths    .            62        3      346        0        0     1038    25974     4304
TAB:  US_Florida_Broward Deaths    3/25/2020    63        3      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            64        3      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    3/27/2020    65        5      346        9        1        9       12       12
TAB:  US_Florida_Broward Deaths    .            66       10      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    3/29/2020    67       11      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    .            68       11      346        6        1        6     1591     1591
TAB:  US_Florida_Broward Deaths    3/31/2020    69       12      346        6        3        6     1476      198
TAB:  US_Florida_Broward Deaths    .            70       12      346        6        6        6     2025       57
TAB:  US_Florida_Broward Deaths    4/2/2020     71       17      346       31        1       31      747       95
TAB:  US_Florida_Broward Deaths    .            72       22      346      121        1      121     2242      492
TAB:  US_Florida_Broward Deaths    4/4/2020     73       31      346     1003        1     1003     1003     1003
TAB:  US_Florida_Broward Deaths    .            74       40      346        0        0        0        0        0
TAB:  US_Florida_Broward Deaths    4/6/2020     75       46      346      159        1      159      159      159
TAB:  US_Florida_Broward Deaths    .            76       47      346       57        1       57     1629      146
TAB:  US_Florida_Broward Deaths    4/8/2020     77       58      346       95        2       95     1284      453
TAB:  US_Florida_Broward Deaths    .            78       66      346      108        2      108     2268      709
TAB:  US_Florida_Broward Deaths    4/10/2020    79       72      346      121        3      121     1731      517
TAB:  US_Florida_Broward Deaths    .            80       76      346      108        3       95     1833      364
TAB:  US_Florida_Broward Deaths    4/12/2020    81       76      346       95        4       83     1974      249
TAB:  US_Florida_Broward Deaths    .            82       77      346       83        4       83     2268      210
TAB:  US_Florida_Broward Deaths    4/14/2020    83       78      346       83        7       83     1795      198
TAB:  US_Florida_Broward Deaths    .            84       92      346      124        1      124      937      218
TAB:  US_Florida_Broward Deaths    4/16/2020    85      101      346      158        2      149      623      212
TAB:  US_Florida_Broward Deaths    .            86      107      346      172        4      146      658      236
TAB:  US_Florida_Broward Deaths    4/18/2020    87      115      346      185        4      159      594      274
TAB:  US_Florida_Broward Deaths    .            88      115      346      185        4      134      415      223
TAB:  US_Florida_Broward Deaths    4/20/2020    89      122      346      185        5      134      351      223
TAB:  US_Florida_Broward Deaths    .            90      126      346      172        5      146      313      210
TAB:  US_Florida_Broward Deaths    4/22/2020    91      141      346      210        6      198      504      274
TAB:  US_Florida_Broward Deaths    .            92      157      346      249        6      249      696      300
TAB:  US_Florida_Broward Deaths    4/24/2020    93      162      346      274        5      261     1335      325
TAB:  US_Florida_Broward Deaths    .            94      162      346      274        5      172     1322      325
TAB:  US_Florida_Broward Deaths    4/26/2020    95      170      346      274        7      172     1936      313
TAB:  US_Florida_Broward Deaths    .            96      174      346      274       10      185     2511      338
TAB:  US_Florida_Broward Deaths    4/28/2020    97      179      346      274       11      185     1795      338
TAB:  US_Florida_Broward Deaths    .            98      182      346      269        4      190      703      288
TAB:  US_Florida_Broward Deaths    4/30/2020    99      185      346      265        3      192      444      273
TAB:  US_Florida_Broward Deaths    .           100      199      346      273        6      273      426      309
TAB:  US_Florida_Broward Deaths    5/2/2020    101      204      346      279        5      279      406      309
TAB:  US_Florida_Broward Deaths    .           102      207      346      287       12      274      402      338
TAB:  US_Florida_Broward Deaths    5/4/2020    103      208      346      274        8      210      364      313
TAB:  US_Florida_Broward Deaths    .           104      215      346      287       12      236      338      300
TAB:  US_Florida_Broward Deaths    5/6/2020    105      219      346      287       12      249      543      300
TAB:  US_Florida_Broward Deaths    .           106      230      346      300       18      287      440      325
TAB:  US_Florida_Broward Deaths    5/8/2020    107      248      346      325       11      313      415      377
TAB:  US_Florida_Broward Deaths    .           108      257      346      338       13      338      517      440
