TAB:  US_New_York_NYC Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_NYC Deaths    1/23/2020     1        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .             2        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    1/25/2020     3        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .             4        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    1/27/2020     5        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .             6        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    1/29/2020     7        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .             8        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    1/31/2020     9        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            10        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/2/2020     11        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            12        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/4/2020     13        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            14        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/6/2020     15        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            16        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/8/2020     17        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            18        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/10/2020    19        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            20        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/12/2020    21        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            22        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/14/2020    23        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            24        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/16/2020    25        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            26        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/18/2020    27        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            28        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/20/2020    29        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            30        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/22/2020    31        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            32        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/24/2020    33        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            34        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/26/2020    35        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            36        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    2/28/2020    37        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            38        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    3/1/2020     39        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            40        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    3/3/2020     41        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            42        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    3/5/2020     43        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            44        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    3/7/2020     45        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            46        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    3/9/2020     47        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    .            48        0    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    3/11/2020    49        0    21918        0        0     3836     3836     3836
TAB:  US_New_York_NYC Deaths    .            50        1    21918        0        0    11509   418193    19183
TAB:  US_New_York_NYC Deaths    3/13/2020    51        2    21918        0        0    95915   395173   395173
TAB:  US_New_York_NYC Deaths    .            52        5    21918        0        0        0        0        0
TAB:  US_New_York_NYC Deaths    3/15/2020    53       11    21918        0        0     3836   103589   103589
TAB:  US_New_York_NYC Deaths    .            54       21    21918        0        0     3836    65222    65222
TAB:  US_New_York_NYC Deaths    3/17/2020    55       32    21918        0        0    19183   525619   118935
TAB:  US_New_York_NYC Deaths    .            56       57    21918      845        1      845      845      845
TAB:  US_New_York_NYC Deaths    3/19/2020    57       84    21918      928        1      928     1291     1291
TAB:  US_New_York_NYC Deaths    .            58      134    21918     2297        1     2297     4339     3147
TAB:  US_New_York_NYC Deaths    3/21/2020    59      180    21918     2042        1     2042     5636     2924
TAB:  US_New_York_NYC Deaths    .            60      232    21918      823        1      823     2029     1663
TAB:  US_New_York_NYC Deaths    3/23/2020    61      328    21918     3541        2     2335     3541     2603
TAB:  US_New_York_NYC Deaths    .            62      433    21918     3056        1     3056     9168     4121
TAB:  US_New_York_NYC Deaths    3/25/2020    63      573    21918     4453        2     4453    31985     7692
TAB:  US_New_York_NYC Deaths    .            64      798    21918     6883        1     6883    27127    16600
TAB:  US_New_York_NYC Deaths    3/27/2020    65     1050    21918    10122        1    10122    63566    29556
TAB:  US_New_York_NYC Deaths    .            66     1377    21918    14980        1    14980   132396    50610
TAB:  US_New_York_NYC Deaths    3/29/2020    67     1729    21918    19839        1    19839   112962    53849
TAB:  US_New_York_NYC Deaths    .            68     2128    21918    12551        1    12551   159118    70044
TAB:  US_New_York_NYC Deaths    3/31/2020    69     2589    21918    14170        1    14170   125918    45751
TAB:  US_New_York_NYC Deaths    .            70     3115    21918    20649        2    17409   106484    47371
TAB:  US_New_York_NYC Deaths    4/2/2020     71     3754    21918    24753        1    24753   146557    49900
TAB:  US_New_York_NYC Deaths    .            72     4399    21918    34958        2    27686   108789    66280
TAB:  US_New_York_NYC Deaths    4/4/2020     73     5077    21918    36298        2    28379    83817    42898
TAB:  US_New_York_NYC Deaths    .            74     5804    21918    21649        1    21649    67858    36930
TAB:  US_New_York_NYC Deaths    4/6/2020     75     6596    21918    58405        3    23643    58405    34604
TAB:  US_New_York_NYC Deaths    .            76     7406    21918    31486        2    26536    53485    35336
TAB:  US_New_York_NYC Deaths    4/8/2020     77     8137    21918    29338        2    22577    47931    31028
TAB:  US_New_York_NYC Deaths    .            78     8861    21918    42933        3    16932    42933    27202
TAB:  US_New_York_NYC Deaths    4/10/2020    79     9558    21918    25008        2    15716    39242    25799
TAB:  US_New_York_NYC Deaths    .            80    10238    21918    35142        2    16532    35864    23759
TAB:  US_New_York_NYC Deaths    4/12/2020    81    10955    21918    18096        2    18096    33107    22766
TAB:  US_New_York_NYC Deaths    .            82    11681    21918    19869        3    19555    31179    23796
TAB:  US_New_York_NYC Deaths    4/14/2020    83    12324    21918    20245        3    20096    29658    23234
TAB:  US_New_York_NYC Deaths    .            84    12851    21918    19827        4    18547    27928    21959
TAB:  US_New_York_NYC Deaths    4/16/2020    85    13374    21918    19400        3    16696    26836    21293
TAB:  US_New_York_NYC Deaths    .            86    13826    21918    19029        5    16691    25784    20588
TAB:  US_New_York_NYC Deaths    4/18/2020    87    14291    21918    18907        4    17409    24772    20030
TAB:  US_New_York_NYC Deaths    .            88    14735    21918    18833        4    18106    24041    20286
TAB:  US_New_York_NYC Deaths    4/20/2020    89    15169    21918    19099        7    18629    23330    20392
TAB:  US_New_York_NYC Deaths    .            90    15529    21918    19066        7    18836    22868    20448
TAB:  US_New_York_NYC Deaths    4/22/2020    91    15864    21918    19061       10    18838    22192    20179
TAB:  US_New_York_NYC Deaths    .            92    16158    21918    19012       11    18355    21752    19999
TAB:  US_New_York_NYC Deaths    4/24/2020    93    16190    21918    18636        5    16703    21321    19280
TAB:  US_New_York_NYC Deaths    .            94    17126    21918    19872       10    19872    21716    20794
TAB:  US_New_York_NYC Deaths    4/26/2020    95    17280    21918    20000       10    20000    23059    21101
