TAB:  France Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  France Confirmed 1/23/2020     1        0   187599        0        0        0        0        0
TAB:  France Confirmed .             2        2   187599        0        0        0        0        0
TAB:  France Confirmed 1/25/2020     3        3   187599        0        0        0        0        0
TAB:  France Confirmed .             4        3   187599        0        0        0        0        0
TAB:  France Confirmed 1/27/2020     5        3   187599        0        0        0        0        0
TAB:  France Confirmed .             6        5   187599        0        0        0        0        0
TAB:  France Confirmed 1/29/2020     7        6   187599        0        0        0        0        0
TAB:  France Confirmed .             8        6   187599        0        0        0        0        0
TAB:  France Confirmed 1/31/2020     9        6   187599        0        0        0        0        0
TAB:  France Confirmed .            10        7   187599        0        0        0        0        0
TAB:  France Confirmed 2/2/2020     11        7   187599        0        0        0        0        0
TAB:  France Confirmed .            12        7   187599        0        0        0        0        0
TAB:  France Confirmed 2/4/2020     13        7   187599        0        0        0        0        0
TAB:  France Confirmed .            14        7   187599        0        0        0        0        0
TAB:  France Confirmed 2/6/2020     15        7   187599        0        0        0        0        0
TAB:  France Confirmed .            16        7   187599        0        0        0        0        0
TAB:  France Confirmed 2/8/2020     17       14   187599    17327        1    17327    17327    17327
TAB:  France Confirmed .            18       14   187599    65843        1    65843    65843    65843
TAB:  France Confirmed 2/10/2020    19       14   187599    10396        1    10396    10396    10396
TAB:  France Confirmed .            20       14   187599     3465        1     3465  1216372   890620
TAB:  France Confirmed 2/12/2020    21       14   187599     3465        2     3465  1216372   440111
TAB:  France Confirmed .            22       14   187599     3465        4     3465  1348059  1098546
TAB:  France Confirmed 2/14/2020    23       14   187599     3465        4     3465  1348059  1098546
TAB:  France Confirmed .            24       15   187599     3465        8     3465     3465     3465
TAB:  France Confirmed 2/16/2020    25       15   187599     3465       10     3465     3465     3465
TAB:  France Confirmed .            26       15   187599     3465       11     3465     3465     3465
TAB:  France Confirmed 2/18/2020    27       15   187599     3465       11     3465  1133201   807449
TAB:  France Confirmed .            28       15   187599     3465       12     3465  1361920  1133201
TAB:  France Confirmed 2/20/2020    29       15   187599     2837       12     2837     2837     2837
TAB:  France Confirmed .            30       15   187599     2837       12     2837   956159   956159
TAB:  France Confirmed 2/22/2020    31       15   187599     3396       12     3396  1137937   669175
TAB:  France Confirmed .            32       15   187599     3396       12     3396   954508   546889
TAB:  France Confirmed 2/24/2020    33       15   187599     2837       12     2837   882390   547592
TAB:  France Confirmed .            34       18   187599     3465       13     3465     3465     3465
TAB:  France Confirmed 2/26/2020    35       23   187599        0        0        0        0        0
TAB:  France Confirmed .            36       50   187599        0        0        0        0        0
TAB:  France Confirmed 2/28/2020    37       75   187599        0        0        0        0        0
TAB:  France Confirmed .            38      132   187599        0        0        0        0        0
TAB:  France Confirmed 3/1/2020     39      172   187599    10396        1    10396    10396    10396
TAB:  France Confirmed .            40      252   187599     3465        2     3465     3465     3465
TAB:  France Confirmed 3/3/2020     41      269   187599     3465        4     3465     3465     3465
TAB:  France Confirmed .            42      377   187599     3465        5     3465    38119    38119
TAB:  France Confirmed 3/5/2020     43      498   187599     3465        5     3465    17327    17327
TAB:  France Confirmed .            44      864   187599    38119        1    38119   142083    45050
TAB:  France Confirmed 3/7/2020     45     1255   187599    -            1   634176   648038   648038
TAB:  France Confirmed .            46     1489   187599    -            1   571798   578729   578729
TAB:  France Confirmed 3/9/2020     47     1599   187599     3465        2     3465   419319   149014
