TAB:  US_Connecticut_Fairfield Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Connecticut_Fairfield Confirmed 1/23/2020     1        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .             2        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 1/25/2020     3        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .             4        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 1/27/2020     5        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .             6        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 1/29/2020     7        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .             8        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 1/31/2020     9        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            10        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/2/2020     11        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            12        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/4/2020     13        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            14        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/6/2020     15        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            16        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/8/2020     17        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            18        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/10/2020    19        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            20        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/12/2020    21        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            22        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/14/2020    23        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            24        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/16/2020    25        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            26        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/18/2020    27        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            28        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/20/2020    29        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            30        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/22/2020    31        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            32        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/24/2020    33        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            34        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/26/2020    35        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            36        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 2/28/2020    37        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            38        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 3/1/2020     39        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            40        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 3/3/2020     41        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            42        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 3/5/2020     43        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            44        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 3/7/2020     45        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            46        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 3/9/2020     47        0    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            48        1    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 3/11/2020    49        2    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            50        4    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 3/13/2020    51        8    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            52       15    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed 3/15/2020    53       15    16108        0        0        0        0        0
TAB:  US_Connecticut_Fairfield Confirmed .            54       29    16108      387        1      387      387      387
TAB:  US_Connecticut_Fairfield Confirmed 3/17/2020    55       48    16108     3098        1     3098     4192     4192
TAB:  US_Connecticut_Fairfield Confirmed .            56       69    16108     4463        1     4463    44335     5653
TAB:  US_Connecticut_Fairfield Confirmed 3/19/2020    57      102    16108     6843        1     6843    59808    50286
TAB:  US_Connecticut_Fairfield Confirmed .            58      122    16108      304        1      304     4424     3027
TAB:  US_Connecticut_Fairfield Confirmed 3/21/2020    59      122    16108      295        3      295      860      749
TAB:  US_Connecticut_Fairfield Confirmed .            60      208    16108     2082        4      892     3273     2677
TAB:  US_Connecticut_Fairfield Confirmed 3/23/2020    61      270    16108     3868        2     2082    11009     3868
TAB:  US_Connecticut_Fairfield Confirmed .            62      384    16108     6248        1     6248    21721    11604
TAB:  US_Connecticut_Fairfield Confirmed 3/25/2020    63      546    16108    15175        1    15175    62784    48501
TAB:  US_Connecticut_Fairfield Confirmed .            64      607    16108    37194        2     1487   104441    20531
TAB:  US_Connecticut_Fairfield Confirmed 3/27/2020    65      752    16108     1487        2     1487    60403    26482
TAB:  US_Connecticut_Fairfield Confirmed .            66      908    16108     2082        2     2082   113368    18150
TAB:  US_Connecticut_Fairfield Confirmed 3/29/2020    67     1245    16108     8033        1     8033    72900    28862
TAB:  US_Connecticut_Fairfield Confirmed .            68     1445    16108    44335        2     9224    80042    30648
TAB:  US_Connecticut_Fairfield Confirmed 3/31/2020    69     1870    16108    43145        2    20531   116939    70520
TAB:  US_Connecticut_Fairfield Confirmed .            70     1986    16108     5058        1     5058    69925    35409
TAB:  US_Connecticut_Fairfield Confirmed 4/2/2020     71     2132    16108     2413        1     2413    50966    23708
TAB:  US_Connecticut_Fairfield Confirmed .            72     2716    16108    10386        1    10386    45577    26027
TAB:  US_Connecticut_Fairfield Confirmed 4/4/2020     73     2824    16108    12110        2     7173    30006    22909
TAB:  US_Connecticut_Fairfield Confirmed .            74     3050    16108     8538        2     5358    22670    12895
TAB:  US_Connecticut_Fairfield Confirmed 4/6/2020     75     3719    16108    12199        3    10414    23506    19341
TAB:  US_Connecticut_Fairfield Confirmed .            76     4136    16108    13389        2    12794    61593    19936
TAB:  US_Connecticut_Fairfield Confirmed 4/8/2020     77     4509    16108    16365        4    13389    95515    20531
TAB:  US_Connecticut_Fairfield Confirmed .            78     4882    16108    16365        4     6843    43740    19341
TAB:  US_Connecticut_Fairfield Confirmed 4/10/2020    79     5180    16108    13440        2     6308    22583    15452
TAB:  US_Connecticut_Fairfield Confirmed .            80     5407    16108    13212        3     6220    18024    13302
TAB:  US_Connecticut_Fairfield Confirmed 4/12/2020    81     5534    16108    16309        3     5956    16309    11133
TAB:  US_Connecticut_Fairfield Confirmed .            82     6004    16108    11258        3     7931    15359    11258
TAB:  US_Connecticut_Fairfield Confirmed 4/14/2020    83     6213    16108     8052        2     8052    14465    10821
TAB:  US_Connecticut_Fairfield Confirmed .            84     6480    16108    10414        5     8033    13985    11009
TAB:  US_Connecticut_Fairfield Confirmed 4/16/2020    85     6816    16108     9819        5     9224    14580    11604
