TAB:  US_Indiana_Lake Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Indiana_Lake Deaths    1/23/2020     1        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .             2        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    1/25/2020     3        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .             4        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    1/27/2020     5        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .             6        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    1/29/2020     7        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .             8        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    1/31/2020     9        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            10        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/2/2020     11        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            12        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/4/2020     13        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            14        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/6/2020     15        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            16        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/8/2020     17        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            18        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/10/2020    19        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            20        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/12/2020    21        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            22        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/14/2020    23        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            24        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/16/2020    25        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            26        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/18/2020    27        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            28        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/20/2020    29        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            30        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/22/2020    31        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            32        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/24/2020    33        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            34        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/26/2020    35        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            36        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    2/28/2020    37        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            38        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/1/2020     39        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            40        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/3/2020     41        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            42        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/5/2020     43        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            44        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/7/2020     45        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            46        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/9/2020     47        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            48        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/11/2020    49        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            50        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/13/2020    51        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            52        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/15/2020    53        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            54        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/17/2020    55        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            56        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/19/2020    57        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            58        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/21/2020    59        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            60        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/23/2020    61        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            62        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/25/2020    63        0      217        0        0     2589     2589     2589
TAB:  US_Indiana_Lake Deaths    .            64        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/27/2020    65        0      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            66        1      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    3/29/2020    67        1      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            68        1      217        0        0      221      665      665
TAB:  US_Indiana_Lake Deaths    3/31/2020    69        5      217        0        0     3625     4956     4956
TAB:  US_Indiana_Lake Deaths    .            70        6      217        0        0     3921     4808     4808
TAB:  US_Indiana_Lake Deaths    4/2/2020     71        6      217        0        0     2589    17533     3033
TAB:  US_Indiana_Lake Deaths    .            72        7      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    4/4/2020     73        8      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            74        8      217        8        3        8        8        8
TAB:  US_Indiana_Lake Deaths    4/6/2020     75        8      217        8        3        8        9        9
TAB:  US_Indiana_Lake Deaths    .            76       11      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    4/8/2020     77       12      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            78       19      217        0        0     1109     5252     1701
TAB:  US_Indiana_Lake Deaths    4/10/2020    79       23      217        0        0        0        0        0
TAB:  US_Indiana_Lake Deaths    .            80       25      217       60        1       60       60       60
TAB:  US_Indiana_Lake Deaths    4/12/2020    81       25      217       28        2       28       60       60
TAB:  US_Indiana_Lake Deaths    .            82       26      217       28        4       28       60       36
TAB:  US_Indiana_Lake Deaths    4/14/2020    83       31      217       60        3       44      100       60
TAB:  US_Indiana_Lake Deaths    .            84       33      217       60        3       44      172       60
TAB:  US_Indiana_Lake Deaths    4/16/2020    85       41      217       92        2       84      508      108
TAB:  US_Indiana_Lake Deaths    .            86       42      217       92        2       84     1342      140
TAB:  US_Indiana_Lake Deaths    4/18/2020    87       43      217       84        2       44     1510       92
TAB:  US_Indiana_Lake Deaths    .            88       45      217       68        2       44      308       84
TAB:  US_Indiana_Lake Deaths    4/20/2020    89       47      217       62        3       49      115       79
TAB:  US_Indiana_Lake Deaths    .            90       54      217       83        2       80      242       93
TAB:  US_Indiana_Lake Deaths    4/22/2020    91       57      217       96        2       88      251      102
TAB:  US_Indiana_Lake Deaths    .            92       61      217      108        5      100      316      140
TAB:  US_Indiana_Lake Deaths    4/24/2020    93       63      217      108        6       68      228      132
TAB:  US_Indiana_Lake Deaths    .            94       67      217      108        7       84      212      132
TAB:  US_Indiana_Lake Deaths    4/26/2020    95       69      217      108        5       84      180      124
TAB:  US_Indiana_Lake Deaths    .            96       70      217      110        4       74      144      110
TAB:  US_Indiana_Lake Deaths    4/28/2020    97       77      217      121        3      114      167      134
TAB:  US_Indiana_Lake Deaths    .            98       81      217      122        4      122      221      148
TAB:  US_Indiana_Lake Deaths    4/30/2020    99       83      217      124        4      124      332      164
TAB:  US_Indiana_Lake Deaths    .           100       92      217      148        4      140      661      228
TAB:  US_Indiana_Lake Deaths    5/2/2020    101       95      217      156        4      148      885      244
TAB:  US_Indiana_Lake Deaths    .           102       95      217      156        4      148     1005      236
TAB:  US_Indiana_Lake Deaths    5/4/2020    103       97      217       98        2       98      307      182
TAB:  US_Indiana_Lake Deaths    .           104      103      217      163        3      135      284      186
TAB:  US_Indiana_Lake Deaths    5/6/2020    105      106      217      164        5      132      412      212
TAB:  US_Indiana_Lake Deaths    .           106      111      217      172        5      156      380      228
TAB:  US_Indiana_Lake Deaths    5/8/2020    107      118      217      188        5      172     1494      308
TAB:  US_Indiana_Lake Deaths    .           108      122      217      196        5      180      805      276
