TAB:  US_Indiana_Marion Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Indiana_Marion Deaths    1/23/2020     1        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .             2        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    1/25/2020     3        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .             4        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    1/27/2020     5        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .             6        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    1/29/2020     7        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .             8        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    1/31/2020     9        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            10        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/2/2020     11        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            12        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/4/2020     13        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            14        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/6/2020     15        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            16        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/8/2020     17        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            18        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/10/2020    19        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            20        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/12/2020    21        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            22        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/14/2020    23        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            24        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/16/2020    25        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            26        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/18/2020    27        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            28        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/20/2020    29        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            30        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/22/2020    31        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            32        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/24/2020    33        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            34        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/26/2020    35        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            36        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    2/28/2020    37        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            38        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    3/1/2020     39        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            40        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    3/3/2020     41        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            42        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    3/5/2020     43        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            44        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    3/7/2020     45        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            46        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    3/9/2020     47        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            48        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    3/11/2020    49        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            50        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    3/13/2020    51        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            52        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    3/15/2020    53        0      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            54        1      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    3/17/2020    55        1      630        0        0      192      192      192
TAB:  US_Indiana_Marion Deaths    .            56        1      630        0        0      192      964      964
TAB:  US_Indiana_Marion Deaths    3/19/2020    57        1      630        0        0     1350    17942     6752
TAB:  US_Indiana_Marion Deaths    .            58        2      630        0        0     4051    60772    60772
TAB:  US_Indiana_Marion Deaths    3/21/2020    59        2      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            60        3      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    3/23/2020    61        3      630       11        2       11       11       11
TAB:  US_Indiana_Marion Deaths    .            62        6      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    3/25/2020    63        6      630    -            1     2641     2641     2641
TAB:  US_Indiana_Marion Deaths    .            64        6      630       81        1       81     1454     1454
TAB:  US_Indiana_Marion Deaths    3/27/2020    65        8      630       11        2       11     2595       81
TAB:  US_Indiana_Marion Deaths    .            66       10      630       11        2       11      500       81
TAB:  US_Indiana_Marion Deaths    3/29/2020    67       10      630       11        3       11      570       81
TAB:  US_Indiana_Marion Deaths    .            68       12      630       17        1       17       55       26
TAB:  US_Indiana_Marion Deaths    3/31/2020    69       17      630      128        1      128     1571      337
TAB:  US_Indiana_Marion Deaths    .            70       21      630      384        1      384     1966     1221
TAB:  US_Indiana_Marion Deaths    4/2/2020     71       24      630      616        1      616     4131     2246
TAB:  US_Indiana_Marion Deaths    .            72       33      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    4/4/2020     73       34      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            74       37      630       34        1       34     3246     2548
TAB:  US_Indiana_Marion Deaths    4/6/2020     75       37      630       34        2       34     2758     1035
TAB:  US_Indiana_Marion Deaths    .            76       48      630      128        1      128     3316     1221
TAB:  US_Indiana_Marion Deaths    4/8/2020     77       58      630      337        1      337     4387     2152
TAB:  US_Indiana_Marion Deaths    .            78       81      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    4/10/2020    79      107      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    .            80      118      630        0        0        0        0        0
TAB:  US_Indiana_Marion Deaths    4/12/2020    81      123      630      128        1      128     3805      174
TAB:  US_Indiana_Marion Deaths    .            82      123      630      128        2      128      174      174
TAB:  US_Indiana_Marion Deaths    4/14/2020    83      141      630      174        2      174     1338      221
TAB:  US_Indiana_Marion Deaths    .            84      155      630      197        2      197      872      314
TAB:  US_Indiana_Marion Deaths    4/16/2020    85      164      630      221        3      197     4596      360
TAB:  US_Indiana_Marion Deaths    .            86      182      630      244        3      244     4201      500
TAB:  US_Indiana_Marion Deaths    4/18/2020    87      190      630      244        2      244     3479      477
TAB:  US_Indiana_Marion Deaths    .            88      192      630      244        4      197     4433      896
TAB:  US_Indiana_Marion Deaths    4/20/2020    89      192      630      221        3      197     3526      709
TAB:  US_Indiana_Marion Deaths    .            90      206      630      244        6      244     2339      669
TAB:  US_Indiana_Marion Deaths    4/22/2020    91      214      630      244        7      244     2106      640
TAB:  US_Indiana_Marion Deaths    .            92      228      630      267        4      267     1524      523
TAB:  US_Indiana_Marion Deaths    4/24/2020    93      238      630      290        6      290     1966      570
TAB:  US_Indiana_Marion Deaths    .            94      255      630      337        6      314      965      523
TAB:  US_Indiana_Marion Deaths    4/26/2020    95      259      630      337        6      314     4433      523
TAB:  US_Indiana_Marion Deaths    .            96      267      630      337        7      290     1664      477
TAB:  US_Indiana_Marion Deaths    4/28/2020    97      282      630      360        7      360     2199      523
TAB:  US_Indiana_Marion Deaths    .            98      305      630      407        7      407     2339      546
TAB:  US_Indiana_Marion Deaths    4/30/2020    99      328      630      477        7      453     1571      593
TAB:  US_Indiana_Marion Deaths    .           100      339      630      500        8      500     2246      640
TAB:  US_Indiana_Marion Deaths    5/2/2020    101      357      630      546       10      500     3689      663
TAB:  US_Indiana_Marion Deaths    .           102      360      630      546        9      407     2967      663
TAB:  US_Indiana_Marion Deaths    5/4/2020    103      363      630      546       10      360     3968      640
TAB:  US_Indiana_Marion Deaths    .           104      374      630      546        9      384     3409      663
