TAB:  US_Massachusetts_Suffolk Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Massachusetts_Suffolk Confirmed 1/23/2020     1        0    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .             2        0    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 1/25/2020     3        0    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .             4        0    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 1/27/2020     5        0    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .             6        0    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 1/29/2020     7        0    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .             8        0    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 1/31/2020     9        0    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            10        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/2/2020     11        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            12        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/4/2020     13        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            14        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/6/2020     15        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            16        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/8/2020     17        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            18        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/10/2020    19        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            20        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/12/2020    21        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            22        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/14/2020    23        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            24        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/16/2020    25        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            26        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/18/2020    27        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            28        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/20/2020    29        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            30        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/22/2020    31        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            32        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/24/2020    33        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            34        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/26/2020    35        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            36        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 2/28/2020    37        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            38        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 3/1/2020     39        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            40        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 3/3/2020     41        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            42        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 3/5/2020     43        1    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            44        3    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 3/7/2020     45        3    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            46        8    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 3/9/2020     47        8    19067    27825        1    27825    27825    27825
TAB:  US_Massachusetts_Suffolk Confirmed .            48       10    19067      352        3      352      352      352
TAB:  US_Massachusetts_Suffolk Confirmed 3/11/2020    49       20    19067      352        1      352     3169     3169
TAB:  US_Massachusetts_Suffolk Confirmed .            50       22    19067      352        3      352     9509     1056
TAB:  US_Massachusetts_Suffolk Confirmed 3/13/2020    51       26    19067      352        6      352    21485    21485
TAB:  US_Massachusetts_Suffolk Confirmed .            52       27    19067      352        8      352    13032    13032
TAB:  US_Massachusetts_Suffolk Confirmed 3/15/2020    53       27    19067      352        9      352     5987     5987
TAB:  US_Massachusetts_Suffolk Confirmed .            54       36    19067      352       11      352     3874     3874
TAB:  US_Massachusetts_Suffolk Confirmed 3/17/2020    55       42    19067      352       12      352     3874     3874
TAB:  US_Massachusetts_Suffolk Confirmed .            56       51    19067      352       12      352     8805     1056
TAB:  US_Massachusetts_Suffolk Confirmed 3/19/2020    57       72    19067      352        7      352    25711     2465
TAB:  US_Massachusetts_Suffolk Confirmed .            58       86    19067      352        6      352    46140     7396
TAB:  US_Massachusetts_Suffolk Confirmed 3/21/2020    59      108    19067     1056        4      352    87702     5283
TAB:  US_Massachusetts_Suffolk Confirmed .            60      126    19067     1056        4      352   139830     7396
TAB:  US_Massachusetts_Suffolk Confirmed 3/23/2020    61      154    19067     1056        3      352    32051     4578
TAB:  US_Massachusetts_Suffolk Confirmed .            62      234    19067     4578        1     4578    97564    13736
TAB:  US_Massachusetts_Suffolk Confirmed 3/25/2020    63      342    19067    34869        1    34869    69386    55298
TAB:  US_Massachusetts_Suffolk Confirmed .            64      448    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed 3/27/2020    65      631    19067        0        0        0        0        0
TAB:  US_Massachusetts_Suffolk Confirmed .            66      843    19067    25007        1    25007    25007    25007
TAB:  US_Massachusetts_Suffolk Confirmed 3/29/2020    67      940    19067     3169        1     3169    15849     3874
TAB:  US_Massachusetts_Suffolk Confirmed .            68     1115    19067     2465        2     1761    27120     4578
TAB:  US_Massachusetts_Suffolk Confirmed 3/31/2020    69     1373    19067     3874        3     3874   113061    12327
TAB:  US_Massachusetts_Suffolk Confirmed .            70     1624    19067     4578        2     4578    34165    10214
TAB:  US_Massachusetts_Suffolk Confirmed 4/2/2020     71     1896    19067     6692        2     5283    75022     9509
TAB:  US_Massachusetts_Suffolk Confirmed .            72     2183    19067     6692        2     6692   100381    11623
TAB:  US_Massachusetts_Suffolk Confirmed 4/4/2020     73     2429    19067     6692        3     5283   113061    12327
TAB:  US_Massachusetts_Suffolk Confirmed .            74     2658    19067     6692        4     4578   122219     9509
TAB:  US_Massachusetts_Suffolk Confirmed 4/6/2020     75     2929    19067     6692        5     5283   110948    12327
TAB:  US_Massachusetts_Suffolk Confirmed .            76     3245    19067     6692        5     5987   129968    10918
TAB:  US_Massachusetts_Suffolk Confirmed 4/8/2020     77     3600    19067     8101        5     7396    60933    13032
TAB:  US_Massachusetts_Suffolk Confirmed .            78     4041    19067     8805        3     8805    82066    15849
TAB:  US_Massachusetts_Suffolk Confirmed 4/10/2020    79     4534    19067    16554        3    10214   115175    18667
TAB:  US_Massachusetts_Suffolk Confirmed .            80     4926    19067    11623        3    11623    74317    20076
TAB:  US_Massachusetts_Suffolk Confirmed 4/12/2020    81     5359    19067    13736        3    12327   139830    22189
TAB:  US_Massachusetts_Suffolk Confirmed .            82     5579    19067    12327        2     7396    91928    19371
TAB:  US_Massachusetts_Suffolk Confirmed 4/14/2020    83     5872    19067    12327        3     6692   138421    17963
TAB:  US_Massachusetts_Suffolk Confirmed .            84     6279    19067    12327        4     8101   126446    18667
TAB:  US_Massachusetts_Suffolk Confirmed 4/16/2020    85     6820    19067    13032        4    11623   138421    20076
TAB:  US_Massachusetts_Suffolk Confirmed .            86     7272    19067    14440        5    13736   138421    29938
