TAB:  US_South_Dakota_Minnehaha Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_South_Dakota_Minnehaha Deaths    1/23/2020     1        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .             2        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    1/25/2020     3        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .             4        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    1/27/2020     5        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .             6        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    1/29/2020     7        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .             8        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    1/31/2020     9        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            10        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/2/2020     11        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            12        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/4/2020     13        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            14        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/6/2020     15        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            16        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/8/2020     17        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            18        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/10/2020    19        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    .            20        0       51        0        0        0        0        0
TAB:  US_South_Dakota_Minnehaha Deaths    2/12/2020    21        0       51        0        0        0        0        0
