TAB:  Italy_Campania Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Campania Deaths    1/23/2020     1        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .             2        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    1/25/2020     3        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .             4        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    1/27/2020     5        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .             6        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    1/29/2020     7        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .             8        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    1/31/2020     9        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            10        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/2/2020     11        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            12        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/4/2020     13        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            14        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/6/2020     15        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            16        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/8/2020     17        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            18        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/10/2020    19        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            20        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/12/2020    21        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            22        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/14/2020    23        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            24        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/16/2020    25        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            26        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/18/2020    27        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            28        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/20/2020    29        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            30        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/22/2020    31        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            32        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/24/2020    33        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            34        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/26/2020    35        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            36        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    2/28/2020    37        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            38        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    3/1/2020     39        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            40        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    3/3/2020     41        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            42        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    3/5/2020     43        0      426        0        0       89       89       89
TAB:  Italy_Campania Deaths    .            44        0      426        0        0       89     1696     1696
TAB:  Italy_Campania Deaths    3/7/2020     45        0      426        0        0       95      175      125
TAB:  Italy_Campania Deaths    .            46        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    3/9/2020     47        0      426        0        0        0        0        0
TAB:  Italy_Campania Deaths    .            48        0      426        0        0      267     3124      803
TAB:  Italy_Campania Deaths    3/11/2020    49        1      426        0        0      267     5981     1160
TAB:  Italy_Campania Deaths    .            50        1      426        0        0      289     2029      715
TAB:  Italy_Campania Deaths    3/13/2020    51        2      426        0        0      624     6160     1339
TAB:  Italy_Campania Deaths    .            52        6      426        0        0     1339    10802     3303
TAB:  Italy_Campania Deaths    3/15/2020    53        9      426        0        0     2053    23479    10802
TAB:  Italy_Campania Deaths    .            54        9      426        0        0     2946    23658    12409
TAB:  Italy_Campania Deaths    3/17/2020    55        9      426        9        1        9        9        9
TAB:  Italy_Campania Deaths    .            56        9      426        9        1        9        9        9
TAB:  Italy_Campania Deaths    3/19/2020    57       17      426       33        1       33       38       38
TAB:  Italy_Campania Deaths    .            58       17      426       23        2       23       39       39
TAB:  Italy_Campania Deaths    3/21/2020    59       22      426       39        4       39      118      118
TAB:  Italy_Campania Deaths    .            60       29      426       70        2       70     1612      118
TAB:  Italy_Campania Deaths    3/23/2020    61       49      426    -            1     2242     2242     2242
TAB:  Italy_Campania Deaths    .            62       56      426      637        1      637      731      731
TAB:  Italy_Campania Deaths    3/25/2020    63       74      426     1235        1     1235     1408     1408
TAB:  Italy_Campania Deaths    .            64       83      426      133        1      133     1754     1313
TAB:  Italy_Campania Deaths    3/27/2020    65       98      426      149        1      149     1471      448
TAB:  Italy_Campania Deaths    .            66      109      426      149        1      149     1235      275
TAB:  Italy_Campania Deaths    3/29/2020    67      117      426      165        3      149     2132      369
TAB:  Italy_Campania Deaths    .            68      125      426      149        3      149     1046      385
TAB:  Italy_Campania Deaths    3/31/2020    69      133      426      166        3      156      605      216
TAB:  Italy_Campania Deaths    .            70      148      426      196        3      196      479      322
TAB:  Italy_Campania Deaths    4/2/2020     71      167      426      425        2      237      425      296
TAB:  Italy_Campania Deaths    .            72      181      426      275        2      259     1203      369
TAB:  Italy_Campania Deaths    4/4/2020     73      186      426      275        4      275      700      354
TAB:  Italy_Campania Deaths    .            74      189      426      267        2      193      354      293
