TAB:  US_Washington_King Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Washington_King Deaths    1/23/2020     1        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .             2        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    1/25/2020     3        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .             4        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    1/27/2020     5        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .             6        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    1/29/2020     7        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .             8        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    1/31/2020     9        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            10        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/2/2020     11        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            12        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/4/2020     13        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            14        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/6/2020     15        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            16        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/8/2020     17        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            18        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/10/2020    19        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            20        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/12/2020    21        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            22        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/14/2020    23        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            24        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/16/2020    25        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            26        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/18/2020    27        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            28        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/20/2020    29        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            30        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/22/2020    31        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            32        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/24/2020    33        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            34        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/26/2020    35        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            36        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    2/28/2020    37        0      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            38        1      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    3/1/2020     39        1      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            40        5      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    3/3/2020     41        6      580        0        0      157    24105      787
TAB:  US_Washington_King Deaths    .            42        9      580        0        0      157    40175     1417
TAB:  US_Washington_King Deaths    3/5/2020     43       10      580        0        0      157    17488     1733
TAB:  US_Washington_King Deaths    .            44       12      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    3/7/2020     45       15      580        0        0        0        0        0
TAB:  US_Washington_King Deaths    .            46       17      580       21        1       21       34       34
TAB:  US_Washington_King Deaths    3/9/2020     47       17      580       20        1       20       28       28
TAB:  US_Washington_King Deaths    .            48       21      580       39        1       39       55       42
TAB:  US_Washington_King Deaths    3/11/2020    49       22      580       38        2       27       38       37
TAB:  US_Washington_King Deaths    .            50       27      580       74        2       74      374      224
TAB:  US_Washington_King Deaths    3/13/2020    51       32      580      139        1      139      182      182
TAB:  US_Washington_King Deaths    .            52       34      580      182        2      139      182      182
TAB:  US_Washington_King Deaths    3/15/2020    53       35      580      117        2       32     1510      160
TAB:  US_Washington_King Deaths    .            54       43      580      182        1      182     1681      246
TAB:  US_Washington_King Deaths    3/17/2020    55       46      580      246        2      182     3952      846
TAB:  US_Washington_King Deaths    .            56       56      580      396        1      396      632      632
TAB:  US_Washington_King Deaths    3/19/2020    57       60      580      503        1      503      782      782
TAB:  US_Washington_King Deaths    .            58       67      580      117        1      117     1017      760
TAB:  US_Washington_King Deaths    3/21/2020    59       74      580      160        1      160     3610      760
TAB:  US_Washington_King Deaths    .            60       75      580       96        2       96     3910      782
TAB:  US_Washington_King Deaths    3/23/2020    61       87      580      182        2      182     3502      889
TAB:  US_Washington_King Deaths    .            62       87      580      174        2      140     1677      559
TAB:  US_Washington_King Deaths    3/25/2020    63      101      580      203        1      203     1681      610
TAB:  US_Washington_King Deaths    .            64      109      580     1553        2      224     1553      653
