TAB:  US_Pennsylvania_Delaware Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Pennsylvania_Delaware Deaths    1/23/2020     1        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .             2        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    1/25/2020     3        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .             4        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    1/27/2020     5        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .             6        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    1/29/2020     7        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .             8        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    1/31/2020     9        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            10        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/2/2020     11        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            12        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/4/2020     13        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            14        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/6/2020     15        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            16        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/8/2020     17        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            18        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/10/2020    19        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            20        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/12/2020    21        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            22        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/14/2020    23        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            24        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/16/2020    25        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            26        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/18/2020    27        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            28        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/20/2020    29        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            30        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/22/2020    31        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            32        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/24/2020    33        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            34        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/26/2020    35        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            36        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    2/28/2020    37        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            38        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    3/1/2020     39        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            40        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    3/3/2020     41        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            42        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    3/5/2020     43        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            44        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    3/7/2020     45        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            46        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    3/9/2020     47        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            48        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    3/11/2020    49        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            50        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    3/13/2020    51        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            52        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    3/15/2020    53        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            54        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    3/17/2020    55        0      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            56        0      602        0        0      122      122      122
TAB:  US_Pennsylvania_Delaware Deaths    3/19/2020    57        0      602        0        0      124      124      124
TAB:  US_Pennsylvania_Delaware Deaths    .            58        0      602        0        0      124      870      373
TAB:  US_Pennsylvania_Delaware Deaths    3/21/2020    59        0      602        0        0      124     4850     1119
TAB:  US_Pennsylvania_Delaware Deaths    .            60        0      602        0        0      373    39426     1368
TAB:  US_Pennsylvania_Delaware Deaths    3/23/2020    61        0      602        0        0      373    31466     2363
TAB:  US_Pennsylvania_Delaware Deaths    .            62        0      602        0        0     3358    27238     9576
TAB:  US_Pennsylvania_Delaware Deaths    3/25/2020    63        2      602        0        0     2363    13805     7089
TAB:  US_Pennsylvania_Delaware Deaths    .            64        2      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    3/27/2020    65        3      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            66        4      602        0        0      621    16293     1865
TAB:  US_Pennsylvania_Delaware Deaths    3/29/2020    67        4      602        0        0      870    12810     4601
TAB:  US_Pennsylvania_Delaware Deaths    .            68        4      602        0        0      373    21019     1368
TAB:  US_Pennsylvania_Delaware Deaths    3/31/2020    69        5      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    .            70        7      602      144        1      144      144      144
TAB:  US_Pennsylvania_Delaware Deaths    4/2/2020     71        8      602      211        1      211      211      211
TAB:  US_Pennsylvania_Delaware Deaths    .            72       10      602        0        0        0        0        0
TAB:  US_Pennsylvania_Delaware Deaths    4/4/2020     73       13      602    -            1     4103     4103     4103
TAB:  US_Pennsylvania_Delaware Deaths    .            74       14      602       55        1       55       77       77
TAB:  US_Pennsylvania_Delaware Deaths    4/6/2020     75       15      602       11        2       11       77       33
TAB:  US_Pennsylvania_Delaware Deaths    .            76       20      602      144        1      144      700      700
TAB:  US_Pennsylvania_Delaware Deaths    4/8/2020     77       23      602      189        1      189      900      255
TAB:  US_Pennsylvania_Delaware Deaths    .            78       26      602      189        1      189     2101      589
TAB:  US_Pennsylvania_Delaware Deaths    4/10/2020    79       30      602       77        1       77     1145      255
TAB:  US_Pennsylvania_Delaware Deaths    .            80       39      602     1745        1     1745     1745     1745
TAB:  US_Pennsylvania_Delaware Deaths    4/12/2020    81       39      602      789        1      789     3680     2101
TAB:  US_Pennsylvania_Delaware Deaths    .            82       41      602       33        1       33     2702      678
TAB:  US_Pennsylvania_Delaware Deaths    4/14/2020    83       46      602       51        2       51     2394      342
TAB:  US_Pennsylvania_Delaware Deaths    .            84       60      602      656        1      656     3858     1456
TAB:  US_Pennsylvania_Delaware Deaths    4/16/2020    85       71      602    -            1     1812     3258     2857
TAB:  US_Pennsylvania_Delaware Deaths    .            86       73      602     1567        1     1567     2479     2324
TAB:  US_Pennsylvania_Delaware Deaths    4/18/2020    87       77      602       77        1       77     4058     2012
TAB:  US_Pennsylvania_Delaware Deaths    .            88       91      602     1612        2      211     3858     2034
TAB:  US_Pennsylvania_Delaware Deaths    4/20/2020    89      100      602     1612        2      255     4147     2435
TAB:  US_Pennsylvania_Delaware Deaths    .            90      118      602     1278        1     1278     3903     2368
TAB:  US_Pennsylvania_Delaware Deaths    4/22/2020    91      123      602      433        1      433     4058     3235
TAB:  US_Pennsylvania_Delaware Deaths    .            92      123      602    -            2      122     3502     1590
TAB:  US_Pennsylvania_Delaware Deaths    4/24/2020    93      129      602      136        3      136     1960      917
TAB:  US_Pennsylvania_Delaware Deaths    .            94      140      602      208        2      172     1484      615
TAB:  US_Pennsylvania_Delaware Deaths    4/26/2020    95      141      602      166        5      166     1278      544
TAB:  US_Pennsylvania_Delaware Deaths    .            96      142      602      144        4      144      967      389
TAB:  US_Pennsylvania_Delaware Deaths    4/28/2020    97      161      602      233        2      233      811      433
TAB:  US_Pennsylvania_Delaware Deaths    .            98      224      602     1098        1     1098     1453     1302
TAB:  US_Pennsylvania_Delaware Deaths    4/30/2020    99      235      602     1501        1     1501     2368     1812
TAB:  US_Pennsylvania_Delaware Deaths    .           100      240      602    -            2      233     2568     1834
TAB:  US_Pennsylvania_Delaware Deaths    5/2/2020    101      255      602      268        1      268     2493     1904
TAB:  US_Pennsylvania_Delaware Deaths    .           102      255      602      263        2      263     2235     1859
TAB:  US_Pennsylvania_Delaware Deaths    5/4/2020    103      258      602      259        2      259     1805     1617
TAB:  US_Pennsylvania_Delaware Deaths    .           104      318      602    -            2     1656     3124     1946
TAB:  US_Pennsylvania_Delaware Deaths    5/6/2020    105      326      602     1723        1     1723     4147     2079
TAB:  US_Pennsylvania_Delaware Deaths    .           106      376      602    -            2     2123     4392     2568
TAB:  US_Pennsylvania_Delaware Deaths    5/8/2020    107      382      602    -            2      522     3324     2435
