TAB:  US_Wisconsin_Milwaukee Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Wisconsin_Milwaukee Deaths    1/23/2020     1        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .             2        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    1/25/2020     3        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .             4        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    1/27/2020     5        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .             6        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    1/29/2020     7        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .             8        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    1/31/2020     9        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            10        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/2/2020     11        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            12        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/4/2020     13        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            14        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/6/2020     15        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            16        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/8/2020     17        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            18        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/10/2020    19        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            20        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/12/2020    21        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            22        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/14/2020    23        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            24        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/16/2020    25        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            26        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/18/2020    27        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            28        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/20/2020    29        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            30        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/22/2020    31        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            32        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/24/2020    33        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            34        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/26/2020    35        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            36        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    2/28/2020    37        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            38        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    3/1/2020     39        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            40        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    3/3/2020     41        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            42        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    3/5/2020     43        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            44        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    3/7/2020     45        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            46        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    3/9/2020     47        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            48        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    3/11/2020    49        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            50        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    3/13/2020    51        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            52        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    3/15/2020    53        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            54        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    3/17/2020    55        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            56        0      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    3/19/2020    57        0      331        0        0    25691    25691    25691
TAB:  US_Wisconsin_Milwaukee Deaths    .            58        1      331        0        0      477     6268     6268
TAB:  US_Wisconsin_Milwaukee Deaths    3/21/2020    59        2      331        0        0      434     1508      466
TAB:  US_Wisconsin_Milwaukee Deaths    .            60        2      331        0        0      916     2320     1544
TAB:  US_Wisconsin_Milwaukee Deaths    3/23/2020    61        3      331        0        0      640     1290      667
TAB:  US_Wisconsin_Milwaukee Deaths    .            62        3      331        0        0      391      780      549
TAB:  US_Wisconsin_Milwaukee Deaths    3/25/2020    63        4      331        0        0      873     1199     1074
TAB:  US_Wisconsin_Milwaukee Deaths    .            64        7      331        0        0      788     1015      871
TAB:  US_Wisconsin_Milwaukee Deaths    3/27/2020    65        8      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            66        9      331        6        1        6      764      764
TAB:  US_Wisconsin_Milwaukee Deaths    3/29/2020    67       10      331        6        2        6       79       18
TAB:  US_Wisconsin_Milwaukee Deaths    .            68       10      331       10        1       10       16       12
TAB:  US_Wisconsin_Milwaukee Deaths    3/31/2020    69       11      331       12        2       12       13       13
TAB:  US_Wisconsin_Milwaukee Deaths    .            70       12      331       13        2       13       18       15
TAB:  US_Wisconsin_Milwaukee Deaths    4/2/2020     71       16      331        0        0     1491     2154     1823
TAB:  US_Wisconsin_Milwaukee Deaths    .            72       24      331        0        0     1823     4806     3149
TAB:  US_Wisconsin_Milwaukee Deaths    4/4/2020     73       24      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    .            74       39      331        0        0        0        0        0
TAB:  US_Wisconsin_Milwaukee Deaths    4/6/2020     75       40      331    -            1     1619     1619     1619
TAB:  US_Wisconsin_Milwaukee Deaths    .            76       49      331       91        1       91      152      152
TAB:  US_Wisconsin_Milwaukee Deaths    4/8/2020     77       56      331       79        1       79      262      116
TAB:  US_Wisconsin_Milwaukee Deaths    .            78       65      331       91        1       91      825      140
TAB:  US_Wisconsin_Milwaukee Deaths    4/10/2020    79       77      331      213        2      165      739      226
TAB:  US_Wisconsin_Milwaukee Deaths    .            80       85      331      177        1      177     2218      287
TAB:  US_Wisconsin_Milwaukee Deaths    4/12/2020    81       88      331      177        3      116      617      213
