TAB:  New_Zealand Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  New_Zealand Deaths    1/23/2020     1        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .             2        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    1/25/2020     3        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .             4        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    1/27/2020     5        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .             6        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    1/29/2020     7        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .             8        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    1/31/2020     9        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            10        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/2/2020     11        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            12        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/4/2020     13        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            14        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/6/2020     15        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            16        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/8/2020     17        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            18        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/10/2020    19        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            20        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/12/2020    21        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            22        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/14/2020    23        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            24        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/16/2020    25        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            26        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/18/2020    27        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            28        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/20/2020    29        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            30        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/22/2020    31        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            32        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/24/2020    33        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            34        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/26/2020    35        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            36        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    2/28/2020    37        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            38        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    3/1/2020     39        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            40        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    3/3/2020     41        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            42        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    3/5/2020     43        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            44        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    3/7/2020     45        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            46        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    3/9/2020     47        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            48        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    3/11/2020    49        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            50        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    3/13/2020    51        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            52        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    3/15/2020    53        0       22        0        0       27       27       27
TAB:  New_Zealand Deaths    .            54        0       22        0        0       27     1639     1639
TAB:  New_Zealand Deaths    3/17/2020    55        0       22        0        0       27       27       27
TAB:  New_Zealand Deaths    .            56        0       22        0        0     1750     7251     4028
TAB:  New_Zealand Deaths    3/19/2020    57        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            58        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    3/21/2020    59        0       22        0        0      416      416      416
TAB:  New_Zealand Deaths    .            60        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    3/23/2020    61        0       22        0        0        0        0        0
TAB:  New_Zealand Deaths    .            62        0       22        0        0      750      750      750
TAB:  New_Zealand Deaths    3/25/2020    63        0       22        0        0      416      805      805
TAB:  New_Zealand Deaths    .            64        0       22        0        0     1472     2806     2806
TAB:  New_Zealand Deaths    3/27/2020    65        0       22        0        0     3139     5695     5695
TAB:  New_Zealand Deaths    .            66        0       22        0        0     3639     5695     5695
TAB:  New_Zealand Deaths    3/29/2020    67        1       22        0        0     1027     9640     3528
TAB:  New_Zealand Deaths    .            68        1       22        0        0      916     5639     2528
TAB:  New_Zealand Deaths    3/31/2020    69        1       22        0        0      916     5973     1916
TAB:  New_Zealand Deaths    .            70        1       22        0        0      972     6028     1583
TAB:  New_Zealand Deaths    4/2/2020     71        1       22        0        0     1194     6528     1750
TAB:  New_Zealand Deaths    .            72        1       22        0        0     1305     7251     2028
TAB:  New_Zealand Deaths    4/4/2020     73        1       22        0        0     1472     7973     2139
TAB:  New_Zealand Deaths    .            74        1       22        0        0     1639     8918     2583
TAB:  New_Zealand Deaths    4/6/2020     75        1       22        0        0     1750     9584     2528
TAB:  New_Zealand Deaths    .            76        1       22        0        0     1583     9751     2305
