TAB:  Saudi_Arabia Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Saudi_Arabia Deaths    1/23/2020     1        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .             2        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    1/25/2020     3        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .             4        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    1/27/2020     5        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .             6        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    1/29/2020     7        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .             8        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    1/31/2020     9        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .            10        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    2/2/2020     11        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .            12        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    2/4/2020     13        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .            14        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    2/6/2020     15        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .            16        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    2/8/2020     17        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .            18        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    2/10/2020    19        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .            20        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    2/12/2020    21        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .            22        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    2/14/2020    23        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .            24        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    2/16/2020    25        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .            26        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    2/18/2020    27        0      783        0        0        0        0        0
TAB:  Saudi_Arabia Deaths    .            28        0      783        0        0        0        0        0
