TAB:  US_Illinois_Cook Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Illinois_Cook Deaths    1/23/2020     1        0     4010        0        0        0        0        0
TAB:  US_Illinois_Cook Deaths    .             2        0     4010        0        0        0        0        0
TAB:  US_Illinois_Cook Deaths    1/25/2020     3        0     4010        0        0        0        0        0
TAB:  US_Illinois_Cook Deaths    .             4        0     4010        0        0        0        0        0
TAB:  US_Illinois_Cook Deaths    1/27/2020     5        0     4010        0        0        0        0        0
TAB:  US_Illinois_Cook Deaths    .             6        0     4010        0        0        0        0        0
TAB:  US_Illinois_Cook Deaths    1/29/2020     7        0     4010        0        0        0        0        0
TAB:  US_Illinois_Cook Deaths    .             8        0     4010        0        0        0        0        0
TAB:  US_Illinois_Cook Deaths    1/31/2020     9        0     4010        0        0        0        0        0
TAB:  US_Illinois_Cook Deaths    .            10        0     4010        0        0        0        0        0
TAB:  US_Illinois_Cook Deaths    2/2/2020     11        0     4010        0        0        0        0        0
TAB:  US_Illinois_Cook Deaths    .            12        0     4010        0        0        0        0        0
TAB:  US_Illinois_Cook Deaths    2/4/2020     13        0     4010        0        0   362072   429556   403601
TAB:  US_Illinois_Cook Deaths    .            14        0     4010        0        0    51212   405309   361413
TAB:  US_Illinois_Cook Deaths    2/6/2020     15        0     4010        0        0   155332   520025   428176
TAB:  US_Illinois_Cook Deaths    .            16        0     4010        0        0    81758   429556   177792
TAB:  US_Illinois_Cook Deaths    2/8/2020     17        0     4010        0        0   428721   428721   428721
TAB:  US_Illinois_Cook Deaths    .            18        0     4010        0        0   162416   507734   507734
TAB:  US_Illinois_Cook Deaths    2/10/2020    19        0     4010        0        0   162416   162416   162416
TAB:  US_Illinois_Cook Deaths    .            20        0     4010        0        0   586524   586524   586524
TAB:  US_Illinois_Cook Deaths    2/12/2020    21        0     4010        0        0   586524   586524   586524
TAB:  US_Illinois_Cook Deaths    .            22        0     4010        0        0   586524   586524   586524
TAB:  US_Illinois_Cook Deaths    2/14/2020    23        0     4010        0        0   143238   586524   586524
TAB:  US_Illinois_Cook Deaths    .            24        0     4010        0        0        0        0        0
