TAB:  US_New_York_Nassau Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Nassau Confirmed 1/23/2020     1        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .             2        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 1/25/2020     3        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .             4        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 1/27/2020     5        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .             6        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 1/29/2020     7        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .             8        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 1/31/2020     9        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .            10        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 2/2/2020     11        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .            12        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 2/4/2020     13        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .            14        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 2/6/2020     15        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .            16        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 2/8/2020     17        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .            18        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 2/10/2020    19        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .            20        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 2/12/2020    21        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .            22        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 2/14/2020    23        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .            24        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 2/16/2020    25        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .            26        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 2/18/2020    27        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .            28        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 2/20/2020    29        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .            30        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed 2/22/2020    31        0    40980        0        0        0        0        0
TAB:  US_New_York_Nassau Confirmed .            32        0    40980        0        0        0        0        0
