TAB:  China_Hubei Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  China_Hubei Deaths    1/23/2020     1       23     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    .             2       33     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    1/25/2020     3       56     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    .             4       72     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    1/27/2020     5      106     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    .             6      175     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    1/29/2020     7      175     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    .             8      226     4512      538        1      538      707      707
TAB:  China_Hubei Deaths    1/31/2020     9      285     4512      593        1      593      865      830
TAB:  China_Hubei Deaths    .            10      348     4512      909        1      909     1182     1148
TAB:  China_Hubei Deaths    2/2/2020     11      490     4512     4917        1     4917    13085    11418
TAB:  China_Hubei Deaths    .            12      579     4512     6417        1     6417    17252    16086
TAB:  China_Hubei Deaths    2/4/2020     13      670     4512     3083        1     3083    16586    10085
TAB:  China_Hubei Deaths    .            14      768     4512     1250        1     1250    13752     5250
TAB:  China_Hubei Deaths    2/6/2020     15      865     4512     1276        1     1276     5551     4290
TAB:  China_Hubei Deaths    .            16      978     4512     3690        2     1608     4006     3690
TAB:  China_Hubei Deaths    2/8/2020     17     1092     4512     1953        2     1953     4286     3499
TAB:  China_Hubei Deaths    .            18     1219     4512     2334        1     2334     7304     3489
TAB:  China_Hubei Deaths    2/10/2020    19     1363     4512     2917        3     2917    20420     3917
TAB:  China_Hubei Deaths    .            20     1495     4512     3881        4     3198    13434     3966
TAB:  China_Hubei Deaths    2/12/2020    21     1665     4512     4417        3     3750    30755    10251
TAB:  China_Hubei Deaths    .            22     1834     4512     4417        3     4417    24920     5250
TAB:  China_Hubei Deaths    2/14/2020    23     2040     4512     5084        2     4917    28421     5584
TAB:  China_Hubei Deaths    .            24     2234     4512     5917        3     5417    22087     6584
TAB:  China_Hubei Deaths    2/16/2020    25     2375     4512     5673        2     4740    28054     8470
TAB:  China_Hubei Deaths    .            26     2505     4512     6056        2     3266    14426     6644
TAB:  China_Hubei Deaths    2/18/2020    27     2690     4512     6439        3     3898    11232     6439
TAB:  China_Hubei Deaths    .            28     2841     4512     4317        2     4317     9188     6198
TAB:  China_Hubei Deaths    2/20/2020    29     3002     4512     6251        3     4750     8584     6417
TAB:  China_Hubei Deaths    .            30     3143     4512     6149        3     4895     7886     6198
TAB:  China_Hubei Deaths    2/22/2020    31     3285     4512     6168        4     4695     7236     6020
TAB:  China_Hubei Deaths    .            32     3389     4512     6101        3     4367     6679     5557
TAB:  China_Hubei Deaths    2/24/2020    33     3493     4512     5911        4     4136     6228     5499
TAB:  China_Hubei Deaths    .            34     3589     4512     5864        4     4193     5864     4999
TAB:  China_Hubei Deaths    2/26/2020    35     3661     4512     5578        5     4130     5635     4755
TAB:  China_Hubei Deaths    .            36     3698     4512     5360        5     3887     5360     4433
TAB:  China_Hubei Deaths    2/28/2020    37     3755     4512     3957        3     3930     5254     4380
TAB:  China_Hubei Deaths    .            38     3818     4512     4071        7     4071     5099     4508
TAB:  China_Hubei Deaths    3/1/2020     39     3866     4512     4133        6     4133     5028     4551
TAB:  China_Hubei Deaths    .            40     3925     4512     4250       12     4084     8251     4584
TAB:  China_Hubei Deaths    3/3/2020     41     3970     4512     4237        8     4237     6046     4617
TAB:  China_Hubei Deaths    .            42     4020     4512     4299        9     4299     5795     4605
TAB:  China_Hubei Deaths    3/5/2020     43     4063     4512     4327       11     4327     5412     4605
TAB:  China_Hubei Deaths    .            44     4104     4512     4372        7     4346     5125     4606
TAB:  China_Hubei Deaths    3/7/2020     45     4143     4512     4368        9     4368     4998     4595
TAB:  China_Hubei Deaths    .            46     4181     4512     4430       13     4430     4800     4602
TAB:  China_Hubei Deaths    3/9/2020     47     4212     4512     4410        9     4410     4850     4605
TAB:  China_Hubei Deaths    .            48     4234     4512     4470       13     4375     4707     4565
TAB:  China_Hubei Deaths    3/11/2020    49     4265     4512     4472       15     4472     4637     4566
TAB:  China_Hubei Deaths    .            50     4279     4512     4474       17     4381     4614     4521
TAB:  China_Hubei Deaths    3/13/2020    51     4287     4512     4477       18     4340     4500     4431
TAB:  China_Hubei Deaths    .            52     4306     4512     4477       21     4386     4500     4477
TAB:  China_Hubei Deaths    3/15/2020    53     4320     4512     4477       23     4386     4477     4432
TAB:  China_Hubei Deaths    .            54     4339     4512     4417       36     4417     4584     4584
TAB:  China_Hubei Deaths    3/17/2020    55     4356     4512     4417       33     4417     4584     4584
TAB:  China_Hubei Deaths    .            56     4371     4512     4417       28     4417     5084     4750
TAB:  China_Hubei Deaths    3/19/2020    57     4383     4512     4417       24     4417     4750     4584
TAB:  China_Hubei Deaths    .            58     4387     4512     4474       29     4425     4599     4499
TAB:  China_Hubei Deaths    3/21/2020    59     4395     4512     4477       35     4431     4500     4477
TAB:  China_Hubei Deaths    .            60     4415     4512     4584       37     4417     4750     4584
TAB:  China_Hubei Deaths    3/23/2020    61     4415     4512     4584       38     4417     5084     4584
TAB:  China_Hubei Deaths    .            62     4425     4512     4584       42     4417     4584     4584
TAB:  China_Hubei Deaths    3/25/2020    63     4429     4512     4477       15     4477     4477     4477
TAB:  China_Hubei Deaths    .            64     4437     4512     4477       11     4477     4477     4477
TAB:  China_Hubei Deaths    3/27/2020    65     4444     4512     4584       57     4417     4584     4584
TAB:  China_Hubei Deaths    .            66     4448     4512     4499       60     4499     4499     4499
TAB:  China_Hubei Deaths    3/29/2020    67     4455     4512     4516       59     4516     4831     4544
TAB:  China_Hubei Deaths    .            68     4461     4512     4522       56     4522     4995     4605
TAB:  China_Hubei Deaths    3/31/2020    69     4462     4512     4522       63     4522     4522     4522
TAB:  China_Hubei Deaths    .            70     4471     4512     4584       62     4584     5584     4750
TAB:  China_Hubei Deaths    4/2/2020     71     4479     4512     4584       58     4584    10751     5917
TAB:  China_Hubei Deaths    .            72     4485     4512     4584       58     4584     5084     5084
TAB:  China_Hubei Deaths    4/4/2020     73     4490     4512     4584       58     4584     5250     4750
TAB:  China_Hubei Deaths    .            74     4495     4512     4584       58     4584    13752     7584
TAB:  China_Hubei Deaths    4/6/2020     75     4497     4512     4513       32     4513     5042     4777
TAB:  China_Hubei Deaths    .            76     4497     4512     4517       33     4517     4659     4612
TAB:  China_Hubei Deaths    4/8/2020     77     4499     4512     4522       35     4522     4568     4568
TAB:  China_Hubei Deaths    .            78     4502     4512     4522       36     4522     4568     4568
TAB:  China_Hubei Deaths    4/10/2020    79     4503     4512     4584       70     4584     4584     4584
TAB:  China_Hubei Deaths    .            80     4507     4512     4584       69     4584     4584     4584
TAB:  China_Hubei Deaths    4/12/2020    81     4507     4512     4584       69     4584     4584     4584
TAB:  China_Hubei Deaths    .            82     4510     4512     4584       68     4584     4750     4750
TAB:  China_Hubei Deaths    4/14/2020    83     4510     4512     4584       71     4584     4584     4584
TAB:  China_Hubei Deaths    .            84     4512     4512     4566       71     4566     4566     4566
TAB:  China_Hubei Deaths    4/16/2020    85     4512     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    .            86     4512     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    4/18/2020    87     4512     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    .            88     4512     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    4/20/2020    89     4512     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    .            90     4512     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    4/22/2020    91     4512     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    .            92     4512     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    4/24/2020    93     4512     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    .            94     4512     4512        0        0        0        0        0
TAB:  China_Hubei Deaths    4/26/2020    95     4512     4512        0        0        0        0        0
