TAB:  US_Kentucky_Jefferson Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Kentucky_Jefferson Deaths    1/23/2020     1        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .             2        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    1/25/2020     3        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .             4        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    1/27/2020     5        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .             6        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    1/29/2020     7        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .             8        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    1/31/2020     9        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            10        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/2/2020     11        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            12        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/4/2020     13        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            14        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/6/2020     15        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            16        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/8/2020     17        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            18        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/10/2020    19        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            20        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/12/2020    21        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            22        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/14/2020    23        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            24        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/16/2020    25        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            26        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/18/2020    27        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            28        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/20/2020    29        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            30        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/22/2020    31        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            32        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/24/2020    33        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            34        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/26/2020    35        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            36        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    2/28/2020    37        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            38        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    3/1/2020     39        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            40        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    3/3/2020     41        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            42        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    3/5/2020     43        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            44        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    3/7/2020     45        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            46        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    3/9/2020     47        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            48        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    3/11/2020    49        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            50        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    3/13/2020    51        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            52        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    3/15/2020    53        0      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            54        0      169        0        0       58     1471     1471
TAB:  US_Kentucky_Jefferson Deaths    3/17/2020    55        0      169        0        0       58       58       58
TAB:  US_Kentucky_Jefferson Deaths    .            56        0      169        0        0       58       58       58
TAB:  US_Kentucky_Jefferson Deaths    3/19/2020    57        1      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            58        1      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    3/21/2020    59        1      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    .            60        1      169        0        0        0        0        0
TAB:  US_Kentucky_Jefferson Deaths    3/23/2020    61        1      169        0        0       58       58       58
TAB:  US_Kentucky_Jefferson Deaths    .            62        1      169        0        0       58       58       58
TAB:  US_Kentucky_Jefferson Deaths    3/25/2020    63        2      169        0        0       58    15007     2412
