TAB:  US_New_Jersey_Essex Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_Jersey_Essex Confirmed 1/23/2020     1        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .             2        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 1/25/2020     3        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .             4        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 1/27/2020     5        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .             6        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 1/29/2020     7        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .             8        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 1/31/2020     9        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            10        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/2/2020     11        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            12        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/4/2020     13        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            14        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/6/2020     15        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            16        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/8/2020     17        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            18        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/10/2020    19        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            20        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/12/2020    21        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            22        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/14/2020    23        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            24        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/16/2020    25        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            26        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/18/2020    27        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            28        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/20/2020    29        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            30        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/22/2020    31        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            32        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/24/2020    33        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            34        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/26/2020    35        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            36        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 2/28/2020    37        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            38        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 3/1/2020     39        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            40        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 3/3/2020     41        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            42        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 3/5/2020     43        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            44        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 3/7/2020     45        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            46        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 3/9/2020     47        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            48        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 3/11/2020    49        0    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            50        1    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 3/13/2020    51        3    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            52        7    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 3/15/2020    53        7    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            54       20    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 3/17/2020    55       32    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed .            56       45    18151      578        1      578      578      578
TAB:  US_New_Jersey_Essex Confirmed 3/19/2020    57       63    18151      331        1      331      410      410
TAB:  US_New_Jersey_Essex Confirmed .            58       73    18151        0        0        0        0        0
TAB:  US_New_Jersey_Essex Confirmed 3/21/2020    59      107    18151      333        2      333      403      379
TAB:  US_New_Jersey_Essex Confirmed .            60      172    18151     2347        2     1005     2347     1676
TAB:  US_New_Jersey_Essex Confirmed 3/23/2020    61      273    18151     6370        1     6370    37217    21123
TAB:  US_New_Jersey_Essex Confirmed .            62      342    18151     8382        1     8382    48617    27829
TAB:  US_New_Jersey_Essex Confirmed 3/25/2020    63      381    18151      335        1      335    15758     7711
TAB:  US_New_Jersey_Essex Confirmed .            64      609    18151    12405        1    12405    48617    31182
TAB:  US_New_Jersey_Essex Confirmed 3/27/2020    65      826    18151    -            2    23805   120370    67394
TAB:  US_New_Jersey_Essex Confirmed .            66     1086    18151    37888        1    37888   129088   112994
TAB:  US_New_Jersey_Essex Confirmed 3/29/2020    67     1227    18151    -            2     3017   125065    81476
TAB:  US_New_Jersey_Essex Confirmed .            68     1564    18151     5029        1     5029   100253    51970
TAB:  US_New_Jersey_Essex Confirmed 3/31/2020    69     1900    18151     7711        1     7711    91535    37217
TAB:  US_New_Jersey_Essex Confirmed .            70     2262    18151     9052        1     9052   119029    35205
TAB:  US_New_Jersey_Essex Confirmed 4/2/2020     71     2617    18151     7179        1     7179    65079    27560
